单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
青杭椒(2),辣椒类,2020-09-05,10:40:08.311,0.14,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,10:42:48.920,0.471,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,10:44:13.842,0.381,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,11:40:37.389,0.16,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,11:42:44.217,0.341,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,13:22:17.795,0.21,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,15:00:39.170,0.241,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,15:09:25.365,0.241,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,17:35:02.466,0.2,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,17:44:03.363,0.12,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,18:24:34.186,0.361,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,18:56:09.030,0.361,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,18:56:46.003,0.22,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,19:11:18.510,0.13,10.0,销售,否
青杭椒(2),辣椒类,2020-09-05,20:42:00.092,0.12,10.0,销售,否
青杭椒(2),辣椒类,2020-09-06,09:17:23.170,0.11,10.0,销售,否
青杭椒(2),辣椒类,2020-09-06,15:10:03.186,0.371,10.0,销售,否
青杭椒(2),辣椒类,2020-09-06,15:16:32.576,0.321,10.0,销售,否
青杭椒(2),辣椒类,2020-09-06,16:19:52.568,0.431,10.0,销售,否
青杭椒(2),辣椒类,2020-09-06,17:32:46.847,0.12,10.0,销售,否
青杭椒(2),辣椒类,2020-09-06,18:19:45.701,0.11,10.0,销售,否
青杭椒(2),辣椒类,2020-09-07,18:10:35.368,0.241,10.0,销售,否
青杭椒(2),辣椒类,2020-09-08,16:18:06.898,0.2,10.0,销售,否
青杭椒(2),辣椒类,2020-09-09,10:10:11.077,0.06,10.0,销售,否
青杭椒(2),辣椒类,2020-09-09,10:26:47.486,0.09,10.0,销售,否
青杭椒(2),辣椒类,2020-09-09,16:52:04.030,0.12,10.0,销售,否
青杭椒(2),辣椒类,2020-09-10,19:29:32.229,0.15,10.0,销售,否
青杭椒(2),辣椒类,2020-09-11,17:56:45.875,0.11,10.0,销售,否
青杭椒(2),辣椒类,2020-09-11,18:05:56.748,0.2,10.0,销售,否
青杭椒(2),辣椒类,2020-09-11,18:16:08.357,0.17,10.0,销售,否
青杭椒(2),辣椒类,2020-09-11,18:19:26.513,0.07,10.0,销售,否
青杭椒(2),辣椒类,2020-09-12,13:56:14.686,0.15,10.0,销售,否
青杭椒(2),辣椒类,2020-09-12,17:32:19.108,0.381,10.0,销售,否
青杭椒(2),辣椒类,2020-09-12,18:10:05.233,0.11,10.0,销售,否
青杭椒(2),辣椒类,2020-09-12,19:05:39.840,0.19,10.0,销售,否
青杭椒(2),辣椒类,2020-09-13,11:36:52.780,0.13,10.0,销售,否
青杭椒(2),辣椒类,2020-09-13,12:42:00.293,0.2,10.0,销售,否
青杭椒(2),辣椒类,2020-09-13,14:51:39.695,0.05,10.0,销售,否
青杭椒(2),辣椒类,2020-09-13,17:15:27.467,0.19,10.0,销售,否
青杭椒(2),辣椒类,2020-09-13,18:09:28.942,0.08,10.0,销售,否
