单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
青杭椒(份),辣椒类,2022-02-08,09:28:20.670,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-08,15:41:18.561,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-08,19:23:57.816,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-08,19:29:17.252,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-08,21:18:24.839,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-09,09:59:45.733,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-10,13:52:28.479,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-17,14:54:41.160,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-17,17:54:32.698,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-02-18,20:12:21.405,1.0,2.5,销售,是
青杭椒(份),辣椒类,2022-02-19,17:38:51.223,1.0,2.5,销售,是
青杭椒(份),辣椒类,2022-03-03,20:02:12.845,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-03,20:02:13.031,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-04,18:24:27.498,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-04,18:25:07.724,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-04,19:43:09.067,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-04,20:23:36.053,1.0,2.5,销售,是
青杭椒(份),辣椒类,2022-03-04,20:50:38.354,1.0,2.5,销售,是
青杭椒(份),辣椒类,2022-03-04,21:23:28.915,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-05,09:25:06.515,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-05,09:25:06.694,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-05,10:05:05.451,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-05,11:10:04.920,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-05,20:16:25.353,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-06,10:06:08.780,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-06,16:17:18.675,1.0,3.5,销售,否
青杭椒(份),辣椒类,2022-03-07,10:07:20.111,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-07,12:59:06.436,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-07,14:34:11.002,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-08,15:39:49.973,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-08,17:04:22.389,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-08,19:53:31.045,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-09,15:29:12.694,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-09,21:25:41.670,1.0,3.4,销售,是
青杭椒(份),辣椒类,2022-03-10,18:04:36.780,1.0,3.4,销售,是
青杭椒(份),辣椒类,2022-03-10,18:47:28.286,1.0,3.4,销售,是
青杭椒(份),辣椒类,2022-03-10,18:58:48.868,1.0,3.4,销售,是
青杭椒(份),辣椒类,2022-03-10,19:24:04.860,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-12,10:25:13.376,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-12,11:43:05.311,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-12,15:23:57.255,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-12,15:30:18.278,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-12,21:19:27.295,1.0,3.9,销售,是
青杭椒(份),辣椒类,2022-03-13,09:45:00.248,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-13,13:34:49.139,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-13,18:07:04.498,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-14,10:57:11.449,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-14,11:06:27.233,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-14,11:37:37.444,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-14,12:05:33.085,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-14,12:05:33.255,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-14,16:42:06.865,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-14,18:29:00.094,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-15,11:15:56.873,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-16,09:53:20.684,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-16,20:18:42.037,1.0,2.9,销售,是
青杭椒(份),辣椒类,2022-03-17,20:57:00.526,1.0,3.4,销售,是
青杭椒(份),辣椒类,2022-03-17,21:00:35.231,1.0,2.9,销售,是
青杭椒(份),辣椒类,2022-03-21,11:09:59.291,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-21,18:11:07.574,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-23,16:09:13.155,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-23,18:39:18.201,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-23,20:13:15.514,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-24,10:25:03.264,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-26,09:29:34.556,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-26,15:39:29.155,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-26,16:26:30.514,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-26,17:06:36.170,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-26,18:16:43.686,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-27,09:43:37.264,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-27,10:43:06.018,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-27,12:12:16.110,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-27,12:32:20.983,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-27,16:06:14.420,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-28,10:32:14.967,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-28,12:34:06.943,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-28,18:07:36.987,1.0,2.5,销售,是
青杭椒(份),辣椒类,2022-03-28,20:50:39.748,1.0,4.9,销售,否
青杭椒(份),辣椒类,2022-03-29,14:57:42.764,1.0,3.9,销售,否
青杭椒(份),辣椒类,2022-03-29,18:30:49.674,1.0,3.9,销售,否
青杭椒(份),辣椒类,2022-03-29,19:26:38.302,1.0,3.9,销售,否
青杭椒(份),辣椒类,2022-03-29,19:32:58.248,1.0,3.9,销售,否
青杭椒(份),辣椒类,2022-03-29,20:23:56.780,1.0,2.7,销售,是
