单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
青红尖椒组合装(份),辣椒类,2023-02-28,13:11:35.139,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-02-28,21:22:16.602,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-01,19:51:57.045,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-01,20:16:58.389,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-04,09:44:05.272,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-04,09:56:30.126,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-04,12:37:30.149,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-05,17:24:09.477,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-06,18:33:53.108,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-09,11:55:45.265,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-09,16:18:44.42,1.0,3.9,销售,是
青红尖椒组合装(份),辣椒类,2023-03-09,18:10:42.916,1.0,3.9,销售,是
青红尖椒组合装(份),辣椒类,2023-03-09,18:25:31.936,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-10,16:53:40.328,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-11,14:47:42.624,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-13,11:33:31.993,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-13,14:18:33.384,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-13,14:27:49.155,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-13,16:25:18.023,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-13,21:24:45.822,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-14,16:28:43.596,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-15,15:40:51.227,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-15,17:44:02.102,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-16,09:29:39.813,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-16,11:01:50.282,1.0,3.3,销售,是
青红尖椒组合装(份),辣椒类,2023-03-16,11:02:19.864,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-16,15:11:07.389,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-16,16:43:01.561,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-16,17:11:54.748,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-17,20:11:45.441,1.0,3.3,销售,是
青红尖椒组合装(份),辣椒类,2023-03-22,13:06:08.326,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-23,09:36:08.2,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-23,10:59:15.576,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-23,19:45:36.483,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-24,18:50:03.671,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-25,16:12:27.925,1.0,5.5,销售,否
青红尖椒组合装(份),辣椒类,2023-03-26,10:21:39.559,1.0,8.8,销售,否
青红尖椒组合装(份),辣椒类,2023-03-27,15:44:12.461,1.0,8.8,销售,否
青红尖椒组合装(份),辣椒类,2023-03-27,18:13:22.42,1.0,8.8,销售,否
青红尖椒组合装(份),辣椒类,2023-03-31,18:51:10.757,1.0,5.8,销售,否
青红尖椒组合装(份),辣椒类,2023-04-01,10:39:57.211,1.0,3.5,销售,是
青红尖椒组合装(份),辣椒类,2023-04-01,13:19:03.842,1.0,5.8,销售,否
青红尖椒组合装(份),辣椒类,2023-04-13,20:53:11.686,1.0,5.8,销售,否
青红尖椒组合装(份),辣椒类,2023-04-15,17:57:26.556,1.0,5.8,销售,否
青红尖椒组合装(份),辣椒类,2023-04-18,11:09:31.835,1.0,5.8,销售,否
