单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
青红杭椒组合装(份),辣椒类,2022-07-26,10:12:17.895,1.0,2.9,销售,否
青红杭椒组合装(份),辣椒类,2022-07-26,15:20:28.451,1.0,2.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-01,16:06:28.883,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-02,10:20:11.362,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-02,17:20:14.107,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-02,18:46:23.139,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-02,20:42:41.646,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,09:29:17.941,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,09:32:37.488,1.0,2.0,销售,是
青红杭椒组合装(份),辣椒类,2022-08-03,09:34:41.622,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,10:55:19.604,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,16:12:53.373,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,17:42:35.014,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,18:34:30.148,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,19:01:18.186,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,19:02:47.426,1.0,2.3,销售,是
青红杭椒组合装(份),辣椒类,2022-08-03,20:21:53.830,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-03,20:40:29.527,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-04,12:15:33.510,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-05,17:03:28.842,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,09:29:48.527,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,09:35:04.112,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,11:12:11.650,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,12:48:03.704,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,13:58:42.140,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,15:07:14.945,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,17:10:04.508,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-06,18:02:36.234,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,09:48:46.062,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,09:49:12.486,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,10:49:47.389,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,11:08:55.451,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,11:28:25.358,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,11:45:14.326,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,12:45:48.858,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,16:41:43.539,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-07,17:13:38.015,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-08,10:26:12.074,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-08,16:44:04.295,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-08,17:19:30.826,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-08,17:53:23.997,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-08,18:30:37.965,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-09,10:48:04.451,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-09,11:34:13.660,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-09,12:45:38.358,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-09,17:12:39.280,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-09,17:30:38.327,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-09,18:36:35.276,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-09,19:13:45.034,1.0,2.3,销售,是
青红杭椒组合装(份),辣椒类,2022-08-10,11:13:50.845,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-11,11:21:57.850,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-11,15:16:34.014,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-11,15:19:53.342,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-11,15:21:05.608,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-12,09:49:48.631,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-12,10:26:39.626,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-12,10:36:20.458,1.0,3.9,销售,否
青红杭椒组合装(份),辣椒类,2022-08-12,11:30:12.275,1.0,3.9,销售,否
