单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
青茄子(2),茄类,2022-07-30,12:08:07.103,0.352,6.0,销售,否
青茄子(2),茄类,2022-07-30,12:08:07.319,0.336,6.0,销售,否
青茄子(2),茄类,2022-07-30,18:23:05.899,0.554,6.0,销售,否
青茄子(2),茄类,2022-07-30,18:50:16.725,0.537,6.0,销售,否
青茄子(2),茄类,2022-07-31,09:28:31.541,0.42,6.0,销售,否
青茄子(2),茄类,2022-07-31,09:49:59.717,0.386,6.0,销售,否
青茄子(2),茄类,2022-07-31,10:35:41.061,0.436,6.0,销售,否
青茄子(2),茄类,2022-07-31,10:35:47.295,0.386,6.0,销售,否
青茄子(2),茄类,2022-07-31,12:12:38.295,0.386,6.0,销售,否
青茄子(2),茄类,2022-07-31,12:12:41.420,0.285,6.0,销售,否
青茄子(2),茄类,2022-07-31,19:14:23.795,0.42,6.0,销售,否
青茄子(2),茄类,2022-07-31,20:30:50.496,0.319,6.0,销售,否
青茄子(2),茄类,2022-07-31,20:30:50.706,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-04,19:08:16.608,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-06,20:38:04.983,0.285,3.6,销售,是
青茄子(2),茄类,2022-08-06,20:38:08.092,0.352,3.6,销售,是
青茄子(2),茄类,2022-08-07,09:44:19.248,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-07,10:07:16.014,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-07,10:54:03.860,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-07,11:03:00.436,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-07,11:44:57.938,0.453,6.0,销售,否
青茄子(2),茄类,2022-08-07,11:51:13.498,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-07,12:07:07.385,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-07,12:07:07.790,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-07,12:13:32.048,0.269,6.0,销售,否
青茄子(2),茄类,2022-08-07,12:13:32.254,0.285,6.0,销售,否
青茄子(2),茄类,2022-08-07,12:47:36.122,0.47,6.0,销售,否
青茄子(2),茄类,2022-08-07,14:49:56.108,0.537,6.0,销售,否
青茄子(2),茄类,2022-08-07,16:54:18.592,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-07,16:54:22.514,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-07,17:12:45.224,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-07,18:58:08.373,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-07,19:59:41.014,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-07,20:12:19.533,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-07,20:23:45.092,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-07,20:24:13.318,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-07,20:54:40.399,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-08,09:23:30.451,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-08,09:38:59.208,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-08,09:38:59.413,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-08,16:34:35.675,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-08,17:34:14.246,0.269,6.0,销售,否
青茄子(2),茄类,2022-08-08,19:03:13.826,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-08,19:03:16.389,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-08,19:12:09.235,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-08,19:12:09.427,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-09,17:58:16.076,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-09,18:59:35.014,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-09,19:43:16.701,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-09,19:43:33.233,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-09,20:32:40.116,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-10,09:20:09.629,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-10,10:21:13.089,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-10,10:36:07.937,0.503,6.0,销售,否
青茄子(2),茄类,2022-08-10,10:36:08.145,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-10,10:45:02.370,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-10,14:15:49.408,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-10,14:44:38.764,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-10,14:44:43.530,0.638,6.0,销售,否
青茄子(2),茄类,2022-08-10,19:19:19.640,0.503,6.0,销售,否
青茄子(2),茄类,2022-08-10,20:37:05.154,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-11,15:41:34.136,0.252,6.0,销售,否
青茄子(2),茄类,2022-08-11,15:41:34.335,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-11,18:30:00.498,0.285,6.0,销售,否
青茄子(2),茄类,2022-08-11,18:50:31.670,0.453,6.0,销售,否
青茄子(2),茄类,2022-08-12,09:33:31.998,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-12,09:33:40.983,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-12,10:00:05.906,0.47,6.0,销售,否
青茄子(2),茄类,2022-08-12,10:00:06.109,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-12,12:19:39.168,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-12,12:19:39.764,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-12,14:00:16.534,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-12,16:44:56.103,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-12,16:44:56.813,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-12,16:44:57.014,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-12,18:00:59.186,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-12,20:54:51.795,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-12,20:55:09.389,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-13,09:51:21.345,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-13,10:01:55.716,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-13,10:31:26.458,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-13,10:51:47.106,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-13,10:52:46.641,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-13,11:57:00.488,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-13,12:11:10.576,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-13,13:46:48.348,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-13,13:46:48.946,4.95,6.0,销售,否
青茄子(2),茄类,2022-08-13,16:45:59.911,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-13,16:46:00.107,0.235,6.0,销售,否
青茄子(2),茄类,2022-08-13,17:24:15.297,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-13,17:24:15.496,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-13,17:35:36.795,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-13,20:19:59.682,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-13,20:20:00.076,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-13,21:02:05.014,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-13,21:02:05.221,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-13,22:12:21.429,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-13,22:12:21.642,0.269,6.0,销售,否
青茄子(2),茄类,2022-08-14,09:09:30.079,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-14,09:40:23.911,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-14,10:10:19.431,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-14,10:17:44.501,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-14,10:24:04.826,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-14,10:24:20.076,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-14,10:59:26.561,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-14,11:15:42.677,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-14,11:15:42.879,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-14,11:35:38.080,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-14,11:35:38.305,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-14,11:36:23.846,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-14,11:58:25.089,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-14,12:10:12.456,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-14,14:14:46.228,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-14,14:35:48.233,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-14,14:55:34.344,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-14,14:55:34.548,0.269,6.0,销售,否
青茄子(2),茄类,2022-08-14,15:07:49.873,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-14,16:35:04.511,0.453,6.0,销售,否
青茄子(2),茄类,2022-08-14,16:35:04.720,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-14,17:02:44.202,0.503,6.0,销售,否
青茄子(2),茄类,2022-08-14,17:28:27.889,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-14,17:32:52.945,0.42,6.0,销售,否
青茄子(2),茄类,2022-08-14,17:32:53.140,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-14,17:58:01.061,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-14,17:58:11.858,0.285,6.0,销售,否
青茄子(2),茄类,2022-08-14,19:13:05.194,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-14,19:51:24.203,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-14,19:51:24.846,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-14,20:15:44.124,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-14,20:50:49.313,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-14,20:57:11.870,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-14,20:57:12.296,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-15,09:29:05.365,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-15,10:04:41.780,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-15,10:07:27.955,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-15,10:57:41.587,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-15,11:00:40.919,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-15,11:33:16.206,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-15,11:33:16.404,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-15,11:48:59.420,0.537,6.0,销售,否
青茄子(2),茄类,2022-08-15,11:52:56.451,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-15,11:53:08.311,0.252,6.0,销售,否
青茄子(2),茄类,2022-08-15,17:23:17.561,0.285,6.0,销售,否
青茄子(2),茄类,2022-08-15,17:23:47.264,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-15,17:41:26.882,0.369,6.0,销售,否
青茄子(2),茄类,2022-08-15,19:26:49.029,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-15,19:26:49.239,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-15,20:10:38.905,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-15,20:11:41.811,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-15,20:16:57.698,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-15,20:24:31.625,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-15,20:43:28.071,0.252,6.0,销售,否
青茄子(2),茄类,2022-08-16,10:02:50.530,0.269,6.0,销售,否
青茄子(2),茄类,2022-08-16,11:36:33.342,0.403,6.0,销售,否
青茄子(2),茄类,2022-08-16,11:55:05.912,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-16,11:55:07.328,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-16,13:27:15.670,0.302,6.0,销售,否
青茄子(2),茄类,2022-08-16,17:07:22.653,0.319,6.0,销售,否
青茄子(2),茄类,2022-08-16,17:07:22.852,0.352,6.0,销售,否
青茄子(2),茄类,2022-08-16,17:36:31.565,0.436,6.0,销售,否
青茄子(2),茄类,2022-08-16,17:57:14.186,0.285,6.0,销售,否
青茄子(2),茄类,2022-08-16,18:13:14.146,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-16,18:29:33.856,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-16,18:29:33.869,0.336,6.0,销售,否
青茄子(2),茄类,2022-08-16,18:29:34.057,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-16,21:02:57.439,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-17,09:43:49.248,0.386,6.0,销售,否
青茄子(2),茄类,2022-08-17,11:40:27.655,0.403,6.0,销售,否
