单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
青菜苔,花叶类,2021-03-05,09:14:53.764,0.604,3.0,销售,否
青菜苔,花叶类,2021-03-05,10:07:24.707,0.503,3.0,销售,否
青菜苔,花叶类,2021-03-05,11:18:12.938,0.537,3.0,销售,否
青菜苔,花叶类,2021-03-05,11:34:00.795,0.604,3.0,销售,否
青菜苔,花叶类,2021-03-05,11:36:39.258,0.436,3.0,销售,否
青菜苔,花叶类,2021-03-05,12:29:03.393,0.269,3.0,销售,否
青菜苔,花叶类,2021-03-05,12:46:33.248,0.235,3.0,销售,否
青菜苔,花叶类,2021-03-05,13:10:27.805,0.973,3.0,销售,否
青菜苔,花叶类,2021-03-05,13:21:46.485,0.201,3.0,销售,否
青菜苔,花叶类,2021-03-05,13:24:41.701,0.604,3.0,销售,否
青菜苔,花叶类,2021-03-05,15:18:29.763,0.738,3.0,销售,否
青菜苔,花叶类,2021-03-05,16:43:24.250,0.269,3.0,销售,否
青菜苔,花叶类,2021-03-05,16:48:50.324,0.269,3.0,销售,否
青菜苔,花叶类,2021-03-05,16:50:33.346,0.436,3.0,销售,否
青菜苔,花叶类,2021-03-05,16:57:27.115,0.436,3.0,销售,否
青菜苔,花叶类,2021-03-05,16:59:21.905,0.302,3.0,销售,否
青菜苔,花叶类,2021-03-05,17:11:15.894,0.537,3.0,销售,否
青菜苔,花叶类,2021-03-05,18:28:09.858,0.873,3.0,销售,否
青菜苔,花叶类,2021-03-05,18:30:53.329,0.503,3.0,销售,否
青菜苔,花叶类,2021-03-05,19:36:27.209,0.336,3.0,销售,否
青菜苔,花叶类,2021-03-05,19:54:09.373,0.302,3.0,销售,否
青菜苔,花叶类,2021-03-05,19:54:11.045,0.269,3.0,销售,否
青菜苔,花叶类,2021-03-05,20:58:01.342,0.47,3.0,销售,否
青菜苔,花叶类,2021-03-06,09:29:00.530,0.302,3.0,销售,否
青菜苔,花叶类,2021-03-06,09:48:06.795,0.94,3.0,销售,否
青菜苔,花叶类,2021-03-06,09:54:28.264,0.571,3.0,销售,否
青菜苔,花叶类,2021-03-06,11:03:13.375,0.269,3.0,销售,否
青菜苔,花叶类,2021-03-06,16:39:14.772,0.537,3.0,销售,否
青菜苔,花叶类,2021-03-06,17:02:57.236,0.436,3.0,销售,否
青菜苔,花叶类,2021-03-06,17:08:41.873,0.369,3.0,销售,否
青菜苔,花叶类,2021-03-06,17:15:07.967,0.369,3.0,销售,否
青菜苔,花叶类,2021-03-06,17:26:24.420,0.537,3.0,销售,否
青菜苔,花叶类,2021-03-06,17:42:09.431,0.571,3.0,销售,否
青菜苔,花叶类,2021-03-06,17:54:37.674,0.436,3.0,销售,否
青菜苔,花叶类,2021-03-06,18:01:02.494,0.47,3.0,销售,否
青菜苔,花叶类,2021-03-06,18:14:18.920,0.805,3.0,销售,否
青菜苔,花叶类,2021-03-07,09:31:09.451,0.604,3.0,销售,否
青菜苔,花叶类,2021-03-07,10:01:04.247,0.269,3.0,销售,否
青菜苔,花叶类,2021-03-07,10:11:07.733,0.503,3.0,销售,否
青菜苔,花叶类,2021-03-07,10:21:45.479,0.269,3.0,销售,否
青菜苔,花叶类,2021-03-07,10:22:05.561,0.503,3.0,销售,否
青菜苔,花叶类,2021-03-07,10:36:10.049,0.571,3.0,销售,否
青菜苔,花叶类,2021-03-07,10:43:53.123,0.503,3.0,销售,否
青菜苔,花叶类,2021-03-07,11:43:43.483,0.638,3.0,销售,否
青菜苔,花叶类,2021-03-07,11:57:26.858,0.336,3.0,销售,否
青菜苔,花叶类,2021-03-07,11:58:30.342,0.436,3.0,销售,否
青菜苔,花叶类,2021-03-07,12:10:39.186,0.638,3.0,销售,否
青菜苔,花叶类,2021-03-07,14:42:46.795,0.302,3.0,销售,否
青菜苔,花叶类,2021-03-07,14:50:53.834,0.336,3.0,销售,否
青菜苔,花叶类,2021-03-07,15:02:43.280,0.369,3.0,销售,否
青菜苔,花叶类,2021-03-07,15:32:30.983,0.772,3.0,销售,否
青菜苔,花叶类,2021-03-07,15:33:47.558,0.705,3.0,销售,否
青菜苔,花叶类,2021-03-07,15:45:20.536,1.007,3.0,销售,否
青菜苔,花叶类,2021-03-07,15:51:47.715,0.671,3.0,销售,否
青菜苔,花叶类,2021-03-07,16:07:39.264,0.47,3.0,销售,否
青菜苔,花叶类,2021-03-07,16:08:41.014,0.537,3.0,销售,否
青菜苔,花叶类,2021-03-07,17:04:48.576,0.604,3.0,销售,否
青菜苔,花叶类,2021-03-07,17:16:53.498,0.571,3.0,销售,否
青菜苔,花叶类,2021-03-07,18:14:46.733,0.403,3.0,销售,否
青菜苔,花叶类,2021-03-07,19:11:28.655,0.235,3.0,销售,否
青菜苔,花叶类,2021-03-07,19:36:48.967,0.705,3.0,销售,否
