单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
马齿苋,花叶类,2021-03-09,14:41:37.217,0.329,14.0,销售,否
马齿苋,花叶类,2021-03-09,14:41:44.936,0.243,14.0,销售,否
马齿苋,花叶类,2021-03-09,14:41:50.592,0.215,14.0,销售,否
马齿苋,花叶类,2021-03-09,16:18:40.222,0.315,14.0,销售,否
马齿苋,花叶类,2021-03-09,20:14:28.479,0.007,14.0,销售,否
马齿苋,花叶类,2021-03-10,10:36:11.108,0.243,14.0,销售,否
马齿苋,花叶类,2021-03-10,17:29:57.373,0.25,14.0,销售,否
马齿苋,花叶类,2021-03-10,17:29:59.811,0.215,14.0,销售,否
马齿苋,花叶类,2021-03-10,18:07:53.217,0.229,14.0,销售,否
马齿苋,花叶类,2021-03-10,18:33:16.755,0.229,14.0,销售,否
马齿苋,花叶类,2021-03-11,21:05:45.937,0.165,14.0,销售,否
马齿苋,花叶类,2021-03-13,10:48:56.873,0.279,14.0,销售,否
马齿苋,花叶类,2021-03-13,11:01:26.045,0.272,14.0,销售,否
马齿苋,花叶类,2021-03-13,15:54:22.555,0.415,14.0,销售,否
马齿苋,花叶类,2021-03-13,15:54:22.926,0.207,14.0,销售,否
马齿苋,花叶类,2021-03-13,15:54:23.297,0.258,14.0,销售,否
马齿苋,花叶类,2021-03-17,16:28:54.647,0.252,21.8,销售,否
马齿苋,花叶类,2021-03-17,16:55:49.967,0.312,21.8,销售,否
马齿苋,花叶类,2021-03-18,10:45:59.244,0.271,21.8,销售,否
马齿苋,花叶类,2021-03-18,10:45:59.440,0.239,21.8,销售,否
马齿苋,花叶类,2021-03-18,13:21:49.545,0.197,21.8,销售,否
马齿苋,花叶类,2021-03-20,16:08:24.123,0.271,21.8,销售,否
马齿苋,花叶类,2021-03-22,10:10:48.514,0.005,21.8,销售,否
马齿苋,花叶类,2021-03-22,10:48:30.279,0.349,21.8,销售,否
马齿苋,花叶类,2021-03-22,12:37:45.983,0.234,21.8,销售,否
马齿苋,花叶类,2021-03-23,15:07:01.498,0.266,21.8,销售,否
马齿苋,花叶类,2021-03-23,18:34:08.889,0.239,21.8,销售,否
马齿苋,花叶类,2021-04-01,10:44:34.394,0.307,16.0,销售,否
马齿苋,花叶类,2021-04-01,10:44:34.592,0.269,16.0,销售,否
马齿苋,花叶类,2021-04-01,11:12:45.252,0.207,16.0,销售,否
马齿苋,花叶类,2021-04-01,15:08:32.343,0.163,16.0,销售,否
马齿苋,花叶类,2021-04-01,15:08:34.953,0.407,16.0,销售,否
马齿苋,花叶类,2021-04-01,18:09:47.539,0.219,16.0,销售,否
马齿苋,花叶类,2021-04-01,19:49:08.937,0.438,16.0,销售,否
马齿苋,花叶类,2021-04-02,09:59:32.735,0.429,14.0,销售,否
马齿苋,花叶类,2021-04-02,10:42:37.670,0.293,14.0,销售,否
马齿苋,花叶类,2021-04-02,10:42:41.983,0.243,14.0,销售,否
马齿苋,花叶类,2021-04-03,09:56:02.217,0.336,14.0,销售,否
马齿苋,花叶类,2021-04-03,13:10:29.645,0.565,14.0,销售,否
马齿苋,花叶类,2021-04-03,14:57:15.884,0.551,14.0,销售,否
马齿苋,花叶类,2021-04-03,18:53:31.360,0.243,14.0,销售,否
马齿苋,花叶类,2021-04-03,18:56:21.000,0.444,14.0,销售,否
马齿苋,花叶类,2021-04-04,10:19:37.342,0.243,14.0,销售,否
马齿苋,花叶类,2021-04-04,15:17:51.717,0.3,14.0,销售,否
马齿苋,花叶类,2021-04-05,18:57:00.484,0.329,14.0,销售,否
马齿苋,花叶类,2021-04-07,11:34:45.648,0.351,14.0,销售,否
马齿苋,花叶类,2021-04-07,11:48:15.126,0.222,14.0,销售,否
马齿苋,花叶类,2021-04-07,14:52:15.545,0.215,14.0,销售,否
马齿苋,花叶类,2021-04-07,14:52:23.576,0.215,14.0,销售,否
马齿苋,花叶类,2021-04-08,12:10:26.483,0.315,14.0,销售,否
马齿苋,花叶类,2021-04-08,19:38:04.936,0.351,14.0,销售,否
马齿苋,花叶类,2021-04-09,15:48:06.670,0.272,14.0,销售,否
马齿苋,花叶类,2021-04-09,15:48:08.451,0.265,14.0,销售,否
马齿苋,花叶类,2021-04-09,17:30:02.064,0.165,14.0,销售,否
马齿苋,花叶类,2021-04-09,19:48:57.232,0.215,14.0,销售,否
马齿苋,花叶类,2021-04-09,19:53:22.045,0.293,14.0,销售,否
马齿苋,花叶类,2021-04-10,10:29:56.311,0.222,14.0,销售,否
马齿苋,花叶类,2021-04-10,10:29:58.795,0.2,14.0,销售,否
马齿苋,花叶类,2021-04-15,14:10:49.092,0.342,12.0,销售,否
马齿苋,花叶类,2021-04-15,17:33:31.861,0.376,12.0,销售,否
马齿苋,花叶类,2021-04-15,20:38:33.673,0.008,12.0,销售,否
马齿苋,花叶类,2021-04-17,15:35:19.398,0.311,10.0,销售,否
马齿苋,花叶类,2021-04-17,16:50:18.639,0.321,10.0,销售,否
马齿苋,花叶类,2021-04-18,11:06:38.900,0.231,10.0,销售,否
马齿苋,花叶类,2021-04-18,11:06:39.094,0.22,10.0,销售,否
马齿苋,花叶类,2021-04-18,17:24:49.226,0.251,10.0,销售,否
马齿苋,花叶类,2021-04-18,17:24:49.416,0.251,10.0,销售,否
马齿苋,花叶类,2021-04-19,10:19:20.561,0.201,8.0,销售,否
马齿苋,花叶类,2021-04-19,17:09:39.483,0.363,8.0,销售,否
马齿苋,花叶类,2021-04-19,17:28:07.155,0.376,8.0,销售,否
马齿苋,花叶类,2021-04-19,19:43:07.192,0.313,8.0,销售,否
马齿苋,花叶类,2021-04-20,09:45:40.342,0.201,8.0,销售,否
马齿苋,花叶类,2021-04-20,10:10:05.197,0.226,8.0,销售,否
马齿苋,花叶类,2021-04-20,14:40:53.744,0.288,8.0,销售,否
马齿苋,花叶类,2021-04-20,20:09:43.998,0.138,8.0,销售,否
马齿苋,花叶类,2021-04-20,20:09:48.530,0.175,8.0,销售,否
