单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
高瓜(1),水生根茎类,2020-07-01,09:22:21.264,0.251,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,09:25:45.811,0.711,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,11:01:24.263,0.291,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,11:02:04.655,0.361,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,14:28:05.592,0.2,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,15:21:58.826,0.331,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,16:23:17.376,0.361,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,16:26:36.127,0.291,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,16:43:00.738,0.17,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,17:17:12.561,0.481,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,18:05:52.358,0.21,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,18:27:22.239,0.19,10.0,销售,否
高瓜(1),水生根茎类,2020-07-01,19:39:26.460,0.271,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,09:48:00.902,0.321,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,10:05:01.451,0.281,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,10:09:33.489,0.15,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,10:38:06.735,0.461,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,12:22:05.123,0.291,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,15:25:33.660,0.291,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,16:39:56.201,0.251,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,17:01:17.670,0.301,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,17:34:06.231,0.471,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,17:58:07.639,0.451,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,19:01:23.244,0.361,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,19:27:28.280,0.331,10.0,销售,否
高瓜(1),水生根茎类,2020-07-02,20:13:51.983,0.381,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,09:35:15.630,0.17,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,09:41:00.873,0.311,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,10:09:33.139,0.17,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,10:16:58.139,0.231,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,10:32:57.947,0.281,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,10:41:54.014,0.381,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,11:19:59.498,0.14,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,11:30:09.217,0.251,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,12:45:47.498,0.261,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,16:53:41.342,0.18,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,17:00:50.342,0.431,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,17:39:47.373,0.541,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,18:22:14.920,0.481,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,18:39:52.967,0.22,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,19:08:46.633,0.361,10.0,销售,否
高瓜(1),水生根茎类,2020-07-03,19:58:00.905,0.401,7.0,销售,是
高瓜(1),水生根茎类,2020-07-03,19:58:37.001,0.344,7.0,销售,是
高瓜(1),水生根茎类,2020-07-03,20:26:13.201,0.251,6.0,销售,是
