单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
鱼腥草,花叶类,2022-03-13,14:53:34.273,0.234,12.0,销售,否
鱼腥草,花叶类,2022-03-13,17:56:01.233,0.201,12.0,销售,否
鱼腥草,花叶类,2022-03-14,12:20:52.795,0.192,12.0,销售,否
鱼腥草,花叶类,2022-03-14,17:19:35.153,0.243,12.0,销售,否
鱼腥草,花叶类,2022-03-14,17:41:11.872,0.217,12.0,销售,否
鱼腥草,花叶类,2022-03-14,18:17:39.873,0.209,12.0,销售,否
鱼腥草,花叶类,2022-03-14,19:22:02.414,0.217,12.0,销售,否
鱼腥草,花叶类,2022-03-15,18:07:47.567,0.259,12.0,销售,否
鱼腥草,花叶类,2022-03-18,10:00:10.535,0.159,12.0,销售,否
鱼腥草,花叶类,2022-03-18,11:17:35.998,0.159,12.0,销售,否
鱼腥草,花叶类,2022-03-18,11:19:30.670,0.167,12.0,销售,否
鱼腥草,花叶类,2022-03-18,13:43:59.045,0.176,12.0,销售,否
鱼腥草,花叶类,2022-03-18,18:37:53.683,0.209,12.0,销售,否
鱼腥草,花叶类,2022-03-18,19:24:06.467,0.201,12.0,销售,否
鱼腥草,花叶类,2022-03-19,09:21:47.733,0.184,12.0,销售,否
鱼腥草,花叶类,2022-03-19,12:09:01.924,0.184,12.0,销售,否
鱼腥草,花叶类,2022-03-19,12:52:31.045,0.176,12.0,销售,否
鱼腥草,花叶类,2022-03-19,13:03:17.217,0.217,12.0,销售,否
鱼腥草,花叶类,2022-03-19,14:12:26.561,0.167,12.0,销售,否
鱼腥草,花叶类,2022-03-19,15:11:43.375,0.192,12.0,销售,否
鱼腥草,花叶类,2022-03-19,17:47:11.248,0.159,12.0,销售,否
鱼腥草,花叶类,2022-03-21,17:49:15.256,0.251,12.0,销售,否
鱼腥草,花叶类,2022-03-21,18:47:09.264,0.184,12.0,销售,否
鱼腥草,花叶类,2022-03-22,16:43:40.542,0.176,12.0,销售,否
鱼腥草,花叶类,2022-03-24,19:09:30.666,0.159,12.0,销售,否
鱼腥草,花叶类,2022-03-27,10:24:22.608,0.125,12.0,销售,否
鱼腥草,花叶类,2022-03-27,10:24:27.795,0.209,12.0,销售,否
鱼腥草,花叶类,2022-03-27,17:27:20.381,0.159,12.0,销售,否
鱼腥草,花叶类,2022-03-27,18:12:07.061,0.134,12.0,销售,否
鱼腥草,花叶类,2022-03-27,18:12:07.266,0.226,12.0,销售,否
鱼腥草,花叶类,2022-03-27,20:03:14.061,0.176,12.0,销售,否
