单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
鲜木耳(2),食用菌,2022-03-13,13:54:12.498,0.358,14.0,销售,否
鲜木耳(2),食用菌,2022-03-15,10:04:20.826,0.315,14.0,销售,否
鲜木耳(2),食用菌,2022-03-15,13:00:06.045,0.373,14.0,销售,否
鲜木耳(2),食用菌,2022-03-16,20:41:42.850,0.344,8.4,销售,是
鲜木耳(2),食用菌,2022-03-17,09:57:46.358,0.451,14.0,销售,否
鲜木耳(2),食用菌,2022-03-17,11:59:12.967,0.466,14.0,销售,否
鲜木耳(2),食用菌,2022-03-17,18:04:21.193,0.494,14.0,销售,否
鲜木耳(2),食用菌,2022-03-18,11:19:01.090,0.473,14.0,销售,否
鲜木耳(2),食用菌,2022-03-19,16:05:24.136,0.516,7.0,销售,是
鲜木耳(2),食用菌,2022-03-20,10:53:03.764,0.423,14.0,销售,否
鲜木耳(2),食用菌,2022-03-20,20:30:08.217,0.33,14.0,销售,否
鲜木耳(2),食用菌,2022-03-21,17:32:21.795,0.301,14.0,销售,否
鲜木耳(2),食用菌,2022-03-22,14:22:53.623,0.279,14.0,销售,否
鲜木耳(2),食用菌,2022-03-22,16:13:23.670,0.337,14.0,销售,否
鲜木耳(2),食用菌,2022-03-22,17:20:55.242,0.279,14.0,销售,否
鲜木耳(2),食用菌,2022-03-22,18:41:43.108,0.287,14.0,销售,否
鲜木耳(2),食用菌,2022-03-22,19:20:03.045,0.365,9.8,销售,是
鲜木耳(2),食用菌,2022-03-23,11:55:51.498,0.301,14.0,销售,否
鲜木耳(2),食用菌,2022-03-23,20:06:55.216,0.315,9.8,销售,是
鲜木耳(2),食用菌,2022-03-25,11:45:36.047,0.315,14.0,销售,否
鲜木耳(2),食用菌,2022-03-26,10:04:47.780,0.33,9.8,销售,是
鲜木耳(2),食用菌,2022-03-26,13:39:01.951,0.459,9.8,销售,是
鲜木耳(2),食用菌,2022-03-26,19:39:16.217,0.315,9.8,销售,是
鲜木耳(2),食用菌,2022-03-26,20:12:24.451,0.344,9.8,销售,是
鲜木耳(2),食用菌,2022-03-27,12:09:19.417,0.358,14.0,销售,否
鲜木耳(2),食用菌,2022-03-27,17:09:24.483,0.358,14.0,销售,否
鲜木耳(2),食用菌,2022-03-27,19:48:31.717,0.301,8.4,销售,是
鲜木耳(2),食用菌,2022-03-28,15:56:06.349,0.401,14.0,销售,否
鲜木耳(2),食用菌,2022-03-28,16:32:16.576,0.229,14.0,销售,否
鲜木耳(2),食用菌,2022-03-28,19:48:56.204,0.33,8.4,销售,是
鲜木耳(2),食用菌,2022-03-29,16:05:34.311,0.222,14.0,销售,否
鲜木耳(2),食用菌,2022-03-29,17:37:14.252,0.229,14.0,销售,否
鲜木耳(2),食用菌,2022-03-29,17:37:14.459,0.251,14.0,销售,否
鲜木耳(2),食用菌,2022-03-30,10:48:19.436,0.222,14.0,销售,否
