单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
鲜粽叶(袋)(3),花叶类,2023-05-13,17:02:37.948,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-14,11:07:46.983,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-14,11:07:49.998,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-15,21:52:03.011,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-16,09:51:11.623,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-16,09:51:14.467,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-16,09:51:17.67,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-16,09:51:20.389,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-16,09:58:49.416,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-16,20:41:37.217,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-17,18:57:09.701,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-18,16:07:18.327,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-20,18:54:14.881,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-20,18:54:15.041,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-21,18:44:57.436,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-21,18:44:58.405,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-24,16:42:37.644,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-25,10:21:27.332,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-26,16:31:55.082,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-26,21:08:05.427,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-28,10:37:31.089,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-28,11:01:01.092,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-28,16:02:49.123,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-28,18:28:07.639,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-29,14:16:42.508,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-29,14:16:42.683,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-05-31,15:25:01.044,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-02,18:30:15.805,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-03,13:19:15.11,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-04,15:13:52.679,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-04,20:04:50.873,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-05,10:47:43.912,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-05,10:47:44.136,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-05,18:08:11.483,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-05,19:01:13.444,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-05,19:01:13.632,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-06,12:59:38.003,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-07,21:40:23.988,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-08,16:57:44.288,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-09,20:51:50.014,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-10,19:23:18.733,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-10,20:04:47.778,1.0,3.4,销售,是
鲜粽叶(袋)(3),花叶类,2023-06-11,09:52:28.815,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-11,16:29:33.93,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-11,16:29:34.095,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-11,18:28:52.061,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-11,21:18:01.717,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-12,09:21:23.932,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-12,09:21:24.101,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-12,17:03:29.073,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-12,19:50:38.905,1.0,6.8,销售,是
鲜粽叶(袋)(3),花叶类,2023-06-13,09:51:40.405,1.0,6.8,销售,是
鲜粽叶(袋)(3),花叶类,2023-06-13,10:33:22.231,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-14,18:12:49.467,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-14,18:12:54.733,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-15,20:23:16.873,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-15,21:00:48.397,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-16,09:15:46.123,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-16,10:22:46.253,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-16,15:34:08.92,8.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-16,15:45:00.78,30.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-16,19:00:22.126,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,10:39:01.045,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,11:44:18.875,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,11:44:19.05,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,12:04:06.29,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,12:42:48.085,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,15:49:34.887,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,15:49:35.138,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,16:06:23.645,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,19:37:41.764,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,20:37:38.467,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,20:37:41.108,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,20:54:00.152,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,20:54:00.342,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-17,20:54:00.541,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,09:51:49.214,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,09:58:46.076,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,09:58:46.261,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,10:03:57.487,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,10:03:57.675,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,10:03:57.875,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,10:03:58.063,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,10:24:22.366,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,10:24:22.547,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,10:24:22.731,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,14:08:11.033,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,14:08:11.221,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,14:08:11.416,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,14:21:40.16,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,14:21:40.339,1.0,6.8,销售,否
鲜粽叶(袋)(3),花叶类,2023-06-18,16:17:06.967,1.0,6.8,销售,是
