单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
鲜粽叶,花叶类,2022-05-22,11:32:55.414,0.253,19.8,销售,否
鲜粽叶,花叶类,2022-05-22,13:42:51.096,0.263,19.8,销售,否
鲜粽叶,花叶类,2022-05-22,14:36:30.358,0.232,19.8,销售,否
鲜粽叶,花叶类,2022-05-22,17:53:21.544,0.182,19.8,销售,否
鲜粽叶,花叶类,2022-05-22,18:03:01.436,0.207,19.8,销售,否
鲜粽叶,花叶类,2022-05-22,20:56:49.396,0.258,19.8,销售,否
鲜粽叶,花叶类,2022-05-23,09:44:19.139,0.268,19.8,销售,否
鲜粽叶,花叶类,2022-05-23,14:09:13.998,0.273,19.8,销售,否
鲜粽叶,花叶类,2022-05-23,16:20:06.264,0.248,19.8,销售,否
鲜粽叶,花叶类,2022-05-24,09:26:28.497,0.253,19.8,销售,否
鲜粽叶,花叶类,2022-05-24,09:26:28.719,0.283,19.8,销售,否
鲜粽叶,花叶类,2022-05-24,20:42:56.564,0.157,19.8,销售,否
鲜粽叶,花叶类,2022-05-25,10:01:43.630,0.561,19.8,销售,否
鲜粽叶,花叶类,2022-05-25,12:25:53.379,0.136,19.8,销售,否
鲜粽叶,花叶类,2022-05-25,14:57:12.295,0.141,19.8,销售,否
鲜粽叶,花叶类,2022-05-26,17:16:07.139,0.202,19.8,销售,否
鲜粽叶,花叶类,2022-05-26,20:42:37.155,0.237,19.8,销售,否
鲜粽叶,花叶类,2022-05-28,09:31:24.873,0.177,19.8,销售,否
鲜粽叶,花叶类,2022-05-28,09:31:26.233,0.192,19.8,销售,否
鲜粽叶,花叶类,2022-05-28,21:20:48.764,0.126,19.8,销售,否
鲜粽叶,花叶类,2022-05-29,10:15:07.837,0.192,19.8,销售,否
鲜粽叶,花叶类,2022-05-29,16:41:48.354,0.263,19.8,销售,否
鲜粽叶,花叶类,2022-05-29,17:34:11.552,0.253,19.8,销售,否
鲜粽叶,花叶类,2022-05-30,10:23:04.434,0.172,19.8,销售,否
鲜粽叶,花叶类,2022-06-01,19:46:21.670,0.12,10.0,销售,否
鲜粽叶,花叶类,2022-06-01,19:46:41.025,0.21,10.0,销售,否
鲜粽叶,花叶类,2022-06-01,19:46:41.243,0.11,10.0,销售,否
鲜粽叶,花叶类,2022-06-01,22:02:25.565,0.04,10.0,销售,否
