单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
鲜藕带(袋),水生根茎类,2021-05-09,10:42:18.750,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-09,12:44:56.108,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-09,17:39:16.389,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-09,20:38:07.048,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-09,21:09:10.403,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-09,21:09:45.695,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-09,21:58:07.233,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-10,11:07:05.358,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-10,11:54:13.217,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-10,13:30:23.248,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-11,09:25:10.438,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-11,10:41:09.889,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-11,14:34:37.733,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-12,09:42:43.581,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-13,10:33:48.373,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-13,13:42:18.858,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-13,18:21:47.503,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-14,21:32:10.125,1.0,19.9,销售,否
鲜藕带(袋),水生根茎类,2021-05-18,21:33:52.061,3.0,10.0,销售,否
