单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
黑皮鸡枞菌,食用菌,2020-09-22,10:48:04.342,0.14,116.0,销售,是
黑皮鸡枞菌,食用菌,2020-09-22,17:54:14.410,0.188,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-09-22,18:32:21.131,0.154,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-10-30,16:53:50.713,0.126,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-10-30,17:53:29.498,0.128,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-10-31,09:56:11.135,0.128,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-10-31,10:43:16.701,0.128,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-10-31,11:31:26.524,0.128,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-10-31,13:52:11.014,0.126,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-11-12,09:59:27.891,0.162,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-11-12,12:10:09.883,0.122,116.0,销售,否
黑皮鸡枞菌,食用菌,2020-11-27,13:19:48.405,0.166,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-11-27,17:44:58.515,0.166,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-04,17:41:04.508,0.188,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-04,19:39:32.568,0.194,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-04,21:08:07.059,0.192,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-05,11:43:15.983,0.166,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-05,15:13:51.795,0.126,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-05,16:36:19.123,0.208,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-05,17:34:23.827,0.158,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-05,18:17:19.333,0.184,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-05,18:17:19.390,0.132,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-05,19:07:30.203,0.13,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-08,15:19:35.630,0.196,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-09,09:20:03.701,0.152,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-09,19:01:15.902,0.162,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-09,19:01:15.959,0.188,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-09,19:01:16.017,0.19,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-12,16:04:58.014,0.206,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-13,11:17:11.780,0.164,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-15,19:37:44.546,0.208,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-18,14:08:13.640,0.174,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-20,10:08:04.176,0.186,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-21,15:36:44.014,0.243,99.8,销售,否
黑皮鸡枞菌,食用菌,2020-12-25,17:08:20.670,0.186,99.8,销售,否
