销售日期,扫码销售时间,单品编码,销量(千克),销售单价(元/千克),批发价格(元/千克),分类名称,分类编码,平均损耗值
2020-07-01,10:01:04.530,102900005116509,0.829,4.0,1.63,茄类,1011010501,6.68
2020-07-01,10:02:47.115,102900005116509,0.402,4.0,1.63,茄类,1011010501,6.68
2020-07-01,10:07:09.210,102900005116509,0.402,4.0,1.63,茄类,1011010501,6.68
2020-07-01,10:09:28.663,102900005116509,0.427,4.0,1.63,茄类,1011010501,6.68
2020-07-01,10:12:18.196,102900005116257,0.585,6.0,6.56,茄类,1011010501,6.68
2020-07-01,10:32:02.757,102900005116257,0.719,6.0,6.56,茄类,1011010501,6.68
2020-07-01,10:33:45.248,102900005116257,0.652,6.0,6.56,茄类,1011010501,6.68
2020-07-01,10:44:15.855,102900005116509,0.251,4.0,1.63,茄类,1011010501,6.68
2020-07-01,10:49:32.264,102900005116509,0.729,4.0,1.63,茄类,1011010501,6.68
2020-07-01,10:57:41.382,102900005116509,0.427,4.0,1.63,茄类,1011010501,6.68
2020-07-01,11:01:03.483,102900005116509,0.477,4.0,1.63,茄类,1011010501,6.68
2020-07-01,11:14:47.967,102900005116509,0.729,4.0,1.63,茄类,1011010501,6.68
2020-07-01,11:27:58.031,102900005116509,0.729,4.0,1.63,茄类,1011010501,6.68
2020-07-01,11:34:46.904,102900005116509,0.553,4.0,1.63,茄类,1011010501,6.68
2020-07-01,12:19:28.697,102900005116257,0.401,6.0,6.56,茄类,1011010501,6.68
2020-07-01,12:22:47.936,102900005116509,0.578,4.0,1.63,茄类,1011010501,6.68
2020-07-01,12:49:23.530,102900005116257,0.836,6.0,6.56,茄类,1011010501,6.68
2020-07-01,13:19:04.044,102900005116257,0.351,6.0,6.56,茄类,1011010501,6.68
2020-07-01,13:27:18.125,102900005116257,0.753,6.0,6.56,茄类,1011010501,6.68
2020-07-01,13:39:46.811,102900005116509,0.628,4.0,1.63,茄类,1011010501,6.68
2020-07-01,14:53:57.231,102900005116257,0.836,6.0,6.56,茄类,1011010501,6.68
2020-07-01,15:33:58.123,102900005116257,0.385,6.0,6.56,茄类,1011010501,6.68
2020-07-01,15:55:17.389,102900005116509,0.251,4.0,1.63,茄类,1011010501,6.68
2020-07-01,16:27:39.458,102900005116257,0.368,6.0,6.56,茄类,1011010501,6.68
2020-07-01,16:30:13.716,102900005116257,0.351,6.0,6.56,茄类,1011010501,6.68
2020-07-01,16:38:29.108,102900005116257,0.385,6.0,6.56,茄类,1011010501,6.68
2020-07-01,16:49:54.795,102900005116257,0.418,6.0,6.56,茄类,1011010501,6.68
2020-07-01,17:36:20.735,102900005116257,0.569,6.0,6.56,茄类,1011010501,6.68
2020-07-01,17:37:34.858,102900005116257,0.301,6.0,6.56,茄类,1011010501,6.68
2020-07-01,17:44:27.696,102900005116509,0.678,4.0,1.63,茄类,1011010501,6.68
2020-07-01,17:53:32.170,102900005116257,0.368,6.0,6.56,茄类,1011010501,6.68
2020-07-01,18:03:28.434,102900005116509,0.628,4.0,1.63,茄类,1011010501,6.68
2020-07-01,18:04:25.459,102900005116257,0.368,6.0,6.56,茄类,1011010501,6.68
2020-07-01,18:17:15.808,102900005116509,0.754,4.0,1.63,茄类,1011010501,6.68
2020-07-01,18:20:42.279,102900005116257,1.02,6.0,6.56,茄类,1011010501,6.68
2020-07-01,18:22:56.764,102900005116257,1.254,6.0,6.56,茄类,1011010501,6.68
2020-07-01,18:35:29.577,102900005116257,0.251,6.0,6.56,茄类,1011010501,6.68
2020-07-01,18:42:35.150,102900005116257,0.435,6.0,6.56,茄类,1011010501,6.68
2020-07-01,18:58:49.476,102900005116257,0.585,6.0,6.56,茄类,1011010501,6.68
2020-07-01,19:00:01.135,102900005116257,0.452,6.0,6.56,茄类,1011010501,6.68
2020-07-01,19:01:41.998,102900005116509,0.603,4.0,1.63,茄类,1011010501,6.68
2020-07-01,19:10:48.412,102900005116509,0.905,4.0,1.63,茄类,1011010501,6.68
2020-07-01,19:13:16.670,102900005116509,1.432,4.0,1.63,茄类,1011010501,6.68
2020-07-01,19:15:38.326,102900005116509,0.98,4.0,1.63,茄类,1011010501,6.68
2020-07-01,19:36:35.686,102900005116509,0.704,4.0,1.63,茄类,1011010501,6.68
2020-07-01,19:39:05.476,102900005116257,0.301,6.0,6.56,茄类,1011010501,6.68
2020-07-01,20:09:09.873,102900005116257,0.736,6.0,6.56,茄类,1011010501,6.68
2020-07-01,20:11:08.677,102900005116257,0.636,6.0,6.56,茄类,1011010501,6.68
