ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.197,19.8,2023-06-24,11.92,Æß²Ê½·(2),9.43
0.147,19.8,2023-06-24,11.92,Æß²Ê½·(2),9.43
0.157,19.8,2023-06-24,11.92,Æß²Ê½·(2),9.43
0.248,19.8,2023-06-24,11.92,Æß²Ê½·(2),9.43
0.202,11.9,2023-06-24,11.92,Æß²Ê½·(2),9.43
0.25,20.8,2023-06-25,11.93,Æß²Ê½·(2),9.43
0.476,20.8,2023-06-25,11.93,Æß²Ê½·(2),9.43
0.322,20.8,2023-06-25,11.93,Æß²Ê½·(2),9.43
0.332,20.8,2023-06-26,11.92,Æß²Ê½·(2),9.43
0.207,20.8,2023-06-26,11.92,Æß²Ê½·(2),9.43
0.178,20.8,2023-06-26,11.92,Æß²Ê½·(2),9.43
0.202,12.5,2023-06-26,11.92,Æß²Ê½·(2),9.43
0.197,20.8,2023-06-26,11.92,Æß²Ê½·(2),9.43
0.183,20.8,2023-06-26,11.92,Æß²Ê½·(2),9.43
0.207,20.8,2023-06-26,11.92,Æß²Ê½·(2),9.43
0.365,20.8,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.49,20.8,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.144,20.8,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.12,12.5,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.438,12.5,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.207,12.5,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.135,20.8,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.202,12.5,2023-06-27,12.53,Æß²Ê½·(2),9.43
0.298,20.8,2023-06-28,12.84,Æß²Ê½·(2),9.43
0.365,20.8,2023-06-28,12.84,Æß²Ê½·(2),9.43
0.216,20.8,2023-06-28,12.84,Æß²Ê½·(2),9.43
0.221,20.8,2023-06-28,12.84,Æß²Ê½·(2),9.43
0.135,20.8,2023-06-28,12.84,Æß²Ê½·(2),9.43
0.293,20.8,2023-06-28,12.84,Æß²Ê½·(2),9.43
0.168,20.8,2023-06-29,12.13,Æß²Ê½·(2),9.43
