销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.477,8.0,2023-06-24,4.32,上海青,14.43
0.251,8.0,2023-06-24,4.32,上海青,14.43
0.465,8.0,2023-06-24,4.32,上海青,14.43
0.528,8.0,2023-06-24,4.32,上海青,14.43
0.578,8.0,2023-06-24,4.32,上海青,14.43
0.176,8.0,2023-06-24,4.32,上海青,14.43
0.302,8.0,2023-06-24,4.32,上海青,14.43
0.352,8.0,2023-06-24,4.32,上海青,14.43
0.339,8.0,2023-06-24,4.32,上海青,14.43
0.314,8.0,2023-06-24,4.32,上海青,14.43
0.591,8.0,2023-06-24,4.32,上海青,14.43
0.327,8.0,2023-06-24,4.32,上海青,14.43
0.427,8.0,2023-06-24,4.32,上海青,14.43
0.302,8.0,2023-06-25,4.12,上海青,14.43
0.239,8.0,2023-06-25,4.12,上海青,14.43
0.427,8.0,2023-06-25,4.12,上海青,14.43
0.415,8.0,2023-06-25,4.12,上海青,14.43
0.415,8.0,2023-06-26,4.08,上海青,14.43
0.616,8.0,2023-06-26,4.08,上海青,14.43
0.389,8.0,2023-06-26,4.08,上海青,14.43
0.591,8.0,2023-06-27,4.08,上海青,14.43
0.264,8.0,2023-06-27,4.08,上海青,14.43
0.553,8.0,2023-06-27,4.08,上海青,14.43
0.101,8.0,2023-06-27,4.08,上海青,14.43
0.314,8.0,2023-06-27,4.08,上海青,14.43
0.201,8.0,2023-06-28,4.08,上海青,14.43
0.289,8.0,2023-06-28,4.08,上海青,14.43
0.389,8.0,2023-06-28,4.08,上海青,14.43
0.565,8.0,2023-06-28,4.08,上海青,14.43
0.503,8.0,2023-06-28,4.08,上海青,14.43
0.415,8.0,2023-06-28,4.08,上海青,14.43
0.276,8.0,2023-06-28,4.08,上海青,14.43
0.402,8.0,2023-06-28,4.08,上海青,14.43
0.352,8.0,2023-06-28,4.08,上海青,14.43
0.302,8.0,2023-06-28,4.08,上海青,14.43
0.402,8.0,2023-06-28,4.08,上海青,14.43
0.339,8.0,2023-06-28,4.08,上海青,14.43
0.264,8.0,2023-06-28,4.08,上海青,14.43
0.389,8.0,2023-06-28,4.08,上海青,14.43
0.465,8.0,2023-06-28,4.08,上海青,14.43
0.616,8.0,2023-06-29,4.08,上海青,14.43
0.565,8.0,2023-06-29,4.08,上海青,14.43
0.289,8.0,2023-06-29,4.08,上海青,14.43
0.465,8.0,2023-06-29,4.08,上海青,14.43
0.503,8.0,2023-06-29,4.08,上海青,14.43
0.352,8.0,2023-06-29,4.08,上海青,14.43
0.339,8.0,2023-06-29,4.08,上海青,14.43
0.352,8.0,2023-06-29,4.08,上海青,14.43
0.389,8.0,2023-06-29,4.08,上海青,14.43
0.465,8.0,2023-06-29,4.08,上海青,14.43
0.352,8.0,2023-06-29,4.08,上海青,14.43
0.352,8.0,2023-06-30,4.09,上海青,14.43
0.653,8.0,2023-06-30,4.09,上海青,14.43
0.942,8.0,2023-06-30,4.09,上海青,14.43
0.151,8.0,2023-06-30,4.09,上海青,14.43
0.503,8.0,2023-06-30,4.09,上海青,14.43
0.754,8.0,2023-06-30,4.09,上海青,14.43
0.364,8.0,2023-06-30,4.09,上海青,14.43
0.503,8.0,2023-06-30,4.09,上海青,14.43
0.452,8.0,2023-06-30,4.09,上海青,14.43
0.339,8.0,2023-06-30,4.09,上海青,14.43
0.389,8.0,2023-06-30,4.09,上海青,14.43
0.302,8.0,2023-06-30,4.09,上海青,14.43
0.553,8.0,2023-06-30,4.09,上海青,14.43
0.327,8.0,2023-06-30,4.09,上海青,14.43
0.452,8.0,2023-06-30,4.09,上海青,14.43
