销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,2.7,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,2.7,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-24,2.94,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,2.7,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,2.7,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,2.7,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,2.7,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,2.7,2023-06-25,2.96,云南油麦菜(份),9.43
1.0,4.5,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,4.5,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,4.5,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,4.5,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,4.5,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,4.5,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,2.7,2023-06-26,2.79,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,3.6,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,3.6,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,3.6,2023-06-27,2.8,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-28,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,2.7,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-29,2.86,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,3.2,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
1.0,4.5,2023-06-30,2.84,云南油麦菜(份),9.43
