销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.545,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.433,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.279,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.321,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.279,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.489,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.265,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.154,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.433,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.517,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.517,7.2,2023-06-25,4.48,云南油麦菜,12.81
0.573,7.2,2023-06-26,4.48,云南油麦菜,12.81
0.293,7.2,2023-06-27,2.66,云南油麦菜,12.81
