销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,2.7,2023-06-24,3.32,云南生菜(份),9.43
1.0,2.7,2023-06-24,3.32,云南生菜(份),9.43
1.0,2.7,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,2.7,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,2.7,2023-06-24,3.32,云南生菜(份),9.43
1.0,2.7,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-24,3.32,云南生菜(份),9.43
1.0,2.7,2023-06-24,3.32,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-25,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-26,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-26,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-26,3.59,云南生菜(份),9.43
1.0,2.7,2023-06-26,3.59,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-27,3.58,云南生菜(份),9.43
1.0,3.6,2023-06-27,3.58,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-28,3.85,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,2.7,2023-06-29,3.81,云南生菜(份),9.43
1.0,4.5,2023-06-29,3.81,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,4.6,2023-06-30,3.49,云南生菜(份),9.43
1.0,4.6,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
1.0,5.8,2023-06-30,3.49,云南生菜(份),9.43
