销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.24,9.2,2023-06-25,5.76,云南生菜,15.25
0.317,9.2,2023-06-25,5.76,云南生菜,15.25
0.273,9.2,2023-06-26,5.76,云南生菜,15.25
0.295,9.2,2023-06-26,5.76,云南生菜,15.25
0.262,9.2,2023-06-26,5.76,云南生菜,15.25
0.404,9.2,2023-06-26,5.76,云南生菜,15.25
0.273,9.2,2023-06-26,5.76,云南生菜,15.25
0.513,9.2,2023-06-26,5.76,云南生菜,15.25
0.284,9.2,2023-06-26,5.76,云南生菜,15.25
0.207,9.2,2023-06-26,5.76,云南生菜,15.25
0.699,9.2,2023-06-26,5.76,云南生菜,15.25
0.12,9.2,2023-06-26,5.76,云南生菜,15.25
0.328,9.2,2023-06-26,5.76,云南生菜,15.25
0.229,9.2,2023-06-26,5.76,云南生菜,15.25
0.175,9.2,2023-06-26,5.76,云南生菜,15.25
0.426,9.2,2023-06-26,5.76,云南生菜,15.25
0.153,9.2,2023-06-26,5.76,云南生菜,15.25
0.218,9.2,2023-06-26,5.76,云南生菜,15.25
0.437,9.2,2023-06-26,5.76,云南生菜,15.25
0.251,9.2,2023-06-26,5.76,云南生菜,15.25
0.218,9.2,2023-06-26,5.76,云南生菜,15.25
0.426,9.2,2023-06-26,5.76,云南生菜,15.25
0.131,9.2,2023-06-26,5.76,云南生菜,15.25
0.153,9.2,2023-06-26,5.76,云南生菜,15.25
0.295,9.2,2023-06-26,5.76,云南生菜,15.25
0.579,9.2,2023-06-26,5.76,云南生菜,15.25
0.622,9.2,2023-06-26,5.76,云南生菜,15.25
0.251,9.2,2023-06-27,5.74,云南生菜,15.25
0.469,9.2,2023-06-29,5.68,云南生菜,15.25
0.404,9.2,2023-06-29,5.68,云南生菜,15.25
0.437,9.2,2023-06-29,5.68,云南生菜,15.25
0.742,9.2,2023-06-29,5.68,云南生菜,15.25
0.229,9.2,2023-06-29,5.68,云南生菜,15.25
0.197,9.2,2023-06-29,5.68,云南生菜,15.25
0.164,9.2,2023-06-29,5.68,云南生菜,15.25
0.262,9.2,2023-06-29,5.68,云南生菜,15.25
