ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.576,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.483,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.451,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.288,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.251,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.526,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.382,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.288,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.213,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.683,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.57,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.313,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.733,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.238,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.533,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.689,8.0,2023-06-24,11.0,¾»Åº(1),5.54
0.439,16.0,2023-06-24,11.0,¾»Åº(1),5.54
0.614,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.376,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.395,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.338,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.627,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.495,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.326,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.639,8.0,2023-06-25,11.0,¾»Åº(1),5.54
0.658,16.0,2023-06-25,11.0,¾»Åº(1),5.54
0.783,8.0,2023-06-25,11.0,¾»Åº(1),5.54
0.376,16.0,2023-06-26,11.0,¾»Åº(1),5.54
1.579,16.0,2023-06-26,11.0,¾»Åº(1),5.54
0.288,16.0,2023-06-26,11.0,¾»Åº(1),5.54
0.276,16.0,2023-06-26,11.0,¾»Åº(1),5.54
0.345,16.0,2023-06-26,11.0,¾»Åº(1),5.54
0.457,16.0,2023-06-26,11.0,¾»Åº(1),5.54
0.295,16.0,2023-06-26,11.0,¾»Åº(1),5.54
0.382,16.0,2023-06-26,11.0,¾»Åº(1),5.54
0.495,8.0,2023-06-26,11.0,¾»Åº(1),5.54
0.307,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.338,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.589,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.414,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.345,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.213,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.332,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.47,16.0,2023-06-27,10.64,¾»Åº(1),5.54
0.219,8.0,2023-06-27,10.64,¾»Åº(1),5.54
0.313,8.0,2023-06-27,10.64,¾»Åº(1),5.54
0.15,8.0,2023-06-27,10.64,¾»Åº(1),5.54
0.194,8.0,2023-06-27,10.64,¾»Åº(1),5.54
0.47,8.0,2023-06-27,10.64,¾»Åº(1),5.54
0.276,16.0,2023-06-28,10.6,¾»Åº(1),5.54
0.746,16.0,2023-06-28,10.6,¾»Åº(1),5.54
0.345,16.0,2023-06-28,10.6,¾»Åº(1),5.54
1.134,16.0,2023-06-28,10.6,¾»Åº(1),5.54
0.382,16.0,2023-06-28,10.6,¾»Åº(1),5.54
0.645,8.0,2023-06-28,10.6,¾»Åº(1),5.54
