ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-24,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-25,3.39,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-26,3.42,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-27,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,2.8,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,2.8,2023-06-28,3.4,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-29,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-29,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-29,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-29,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-29,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-29,3.41,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-29,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,5.5,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,2.2,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
1.0,3.3,2023-06-30,3.41,Ë«æß¹½(ºÐ),0.2
