销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.485,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.443,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.636,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.502,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.502,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.217,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.619,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.276,12.0,2023-06-24,7.66,外地茼蒿,26.16
0.486,13.2,2023-06-26,8.93,外地茼蒿,26.16
0.54,13.2,2023-06-26,8.93,外地茼蒿,26.16
0.585,13.2,2023-06-26,8.93,外地茼蒿,26.16
0.251,13.2,2023-06-26,8.93,外地茼蒿,26.16
0.502,13.2,2023-06-27,9.19,外地茼蒿,26.16
0.494,13.2,2023-06-27,9.19,外地茼蒿,26.16
