销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,4.8,2023-06-24,2.63,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-24,2.63,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-24,2.63,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-24,2.63,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-24,2.63,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-24,2.63,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-24,2.63,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-25,2.62,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,2.9,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-26,2.61,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-27,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-28,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-28,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-28,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-28,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-28,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-29,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-29,2.29,姜蒜小米椒组合装(小份),9.43
1.0,2.9,2023-06-29,2.29,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
1.0,4.8,2023-06-30,2.33,姜蒜小米椒组合装(小份),9.43
