ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
1.0,4.1,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,4.1,2023-06-24,4.75,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-25,4.83,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-25,4.83,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-25,4.83,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-25,4.83,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-25,4.83,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-25,4.83,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-25,4.83,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-26,4.84,ÍÞÍÞ²Ë,2.48
1.0,4.1,2023-06-26,4.84,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-26,4.84,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,4.1,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,4.1,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-27,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,4.1,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,4.1,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-28,4.85,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-29,4.6,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-30,4.4,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-30,4.4,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-30,4.4,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-30,4.4,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-30,4.4,ÍÞÍÞ²Ë,2.48
1.0,6.8,2023-06-30,4.4,ÍÞÍÞ²Ë,2.48
