销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,1.7,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-24,1.51,小皱皮(份),9.43
1.0,2.8,2023-06-25,1.45,小皱皮(份),9.43
1.0,2.8,2023-06-25,1.45,小皱皮(份),9.43
1.0,2.8,2023-06-25,1.45,小皱皮(份),9.43
1.0,2.8,2023-06-25,1.45,小皱皮(份),9.43
1.0,2.8,2023-06-25,1.45,小皱皮(份),9.43
1.0,2.8,2023-06-25,1.45,小皱皮(份),9.43
1.0,2.8,2023-06-25,1.45,小皱皮(份),9.43
1.0,1.7,2023-06-25,1.45,小皱皮(份),9.43
1.0,1.7,2023-06-25,1.45,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-26,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-27,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-27,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-27,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-27,1.43,小皱皮(份),9.43
1.0,1.7,2023-06-27,1.43,小皱皮(份),9.43
1.0,1.7,2023-06-27,1.43,小皱皮(份),9.43
1.0,2.8,2023-06-28,1.21,小皱皮(份),9.43
1.0,2.8,2023-06-28,1.21,小皱皮(份),9.43
1.0,1.4,2023-06-28,1.21,小皱皮(份),9.43
1.0,1.4,2023-06-28,1.21,小皱皮(份),9.43
1.0,1.4,2023-06-28,1.21,小皱皮(份),9.43
1.0,1.4,2023-06-28,1.21,小皱皮(份),9.43
1.0,2.8,2023-06-28,1.21,小皱皮(份),9.43
1.0,2.8,2023-06-28,1.21,小皱皮(份),9.43
1.0,2.8,2023-06-28,1.21,小皱皮(份),9.43
1.0,1.7,2023-06-28,1.21,小皱皮(份),9.43
1.0,1.7,2023-06-28,1.21,小皱皮(份),9.43
1.0,1.4,2023-06-28,1.21,小皱皮(份),9.43
1.0,2.8,2023-06-28,1.21,小皱皮(份),9.43
1.0,2.8,2023-06-29,1.67,小皱皮(份),9.43
1.0,2.8,2023-06-29,1.67,小皱皮(份),9.43
1.0,2.8,2023-06-29,1.67,小皱皮(份),9.43
1.0,2.8,2023-06-29,1.67,小皱皮(份),9.43
1.0,2.8,2023-06-29,1.67,小皱皮(份),9.43
1.0,2.8,2023-06-29,1.67,小皱皮(份),9.43
1.0,1.7,2023-06-29,1.67,小皱皮(份),9.43
1.0,2.8,2023-06-29,1.67,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
1.0,1.7,2023-06-30,2.1,小皱皮(份),9.43
1.0,2.8,2023-06-30,2.1,小皱皮(份),9.43
