销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.407,5.2,2023-06-24,3.0,小青菜(1),10.33
0.795,5.2,2023-06-24,3.0,小青菜(1),10.33
0.213,5.2,2023-06-24,3.0,小青菜(1),10.33
0.659,5.2,2023-06-24,3.0,小青菜(1),10.33
0.233,5.2,2023-06-24,3.0,小青菜(1),10.33
0.581,5.2,2023-06-24,3.0,小青菜(1),10.33
0.465,5.2,2023-06-24,3.0,小青菜(1),10.33
0.698,5.2,2023-06-24,3.0,小青菜(1),10.33
0.233,5.2,2023-06-24,3.0,小青菜(1),10.33
0.407,5.2,2023-06-24,3.0,小青菜(1),10.33
0.446,5.2,2023-06-24,3.0,小青菜(1),10.33
0.213,5.2,2023-06-24,3.0,小青菜(1),10.33
0.62,5.2,2023-06-24,3.0,小青菜(1),10.33
0.213,5.2,2023-06-25,3.0,小青菜(1),10.33
0.407,5.2,2023-06-25,3.0,小青菜(1),10.33
0.678,5.2,2023-06-25,3.0,小青菜(1),10.33
0.485,5.2,2023-06-25,3.0,小青菜(1),10.33
0.194,5.2,2023-06-25,3.0,小青菜(1),10.33
0.252,5.2,2023-06-25,3.0,小青菜(1),10.33
0.233,5.2,2023-06-25,3.0,小青菜(1),10.33
0.485,5.2,2023-06-25,3.0,小青菜(1),10.33
0.233,5.2,2023-06-25,3.0,小青菜(1),10.33
0.194,5.2,2023-06-25,3.0,小青菜(1),10.33
0.426,5.2,2023-06-25,3.0,小青菜(1),10.33
0.174,5.2,2023-06-25,3.0,小青菜(1),10.33
0.174,5.2,2023-06-25,3.0,小青菜(1),10.33
0.233,5.2,2023-06-25,3.0,小青菜(1),10.33
0.213,5.2,2023-06-25,3.0,小青菜(1),10.33
0.194,5.2,2023-06-25,3.0,小青菜(1),10.33
0.465,5.2,2023-06-26,3.0,小青菜(1),10.33
0.233,5.2,2023-06-26,3.0,小青菜(1),10.33
0.426,5.2,2023-06-26,3.0,小青菜(1),10.33
0.446,5.2,2023-06-26,3.0,小青菜(1),10.33
0.465,5.2,2023-06-26,3.0,小青菜(1),10.33
0.446,5.2,2023-06-26,3.0,小青菜(1),10.33
0.213,5.2,2023-06-26,3.0,小青菜(1),10.33
0.116,5.2,2023-06-26,3.0,小青菜(1),10.33
0.194,5.2,2023-06-26,3.0,小青菜(1),10.33
0.485,5.2,2023-06-26,3.0,小青菜(1),10.33
0.213,5.2,2023-06-26,3.0,小青菜(1),10.33
0.426,5.2,2023-06-26,3.0,小青菜(1),10.33
0.446,5.2,2023-06-26,3.0,小青菜(1),10.33
0.659,5.2,2023-06-26,3.0,小青菜(1),10.33
0.213,5.2,2023-06-26,3.0,小青菜(1),10.33
0.407,5.2,2023-06-27,2.91,小青菜(1),10.33
0.291,5.2,2023-06-27,2.91,小青菜(1),10.33
0.291,5.2,2023-06-27,2.91,小青菜(1),10.33
0.349,5.2,2023-06-27,2.91,小青菜(1),10.33
0.291,5.2,2023-06-27,2.91,小青菜(1),10.33
0.33,5.2,2023-06-27,2.91,小青菜(1),10.33
0.194,5.2,2023-06-27,2.91,小青菜(1),10.33
0.368,5.2,2023-06-27,2.91,小青菜(1),10.33
0.174,5.2,2023-06-27,2.91,小青菜(1),10.33
0.31,5.2,2023-06-27,2.91,小青菜(1),10.33
0.504,5.2,2023-06-28,2.6,小青菜(1),10.33
0.349,5.2,2023-06-28,2.6,小青菜(1),10.33
0.465,5.2,2023-06-28,2.6,小青菜(1),10.33
0.155,5.2,2023-06-28,2.6,小青菜(1),10.33
0.33,5.2,2023-06-28,2.6,小青菜(1),10.33
0.31,5.2,2023-06-28,2.6,小青菜(1),10.33
0.465,5.2,2023-06-28,2.6,小青菜(1),10.33
0.291,5.2,2023-06-29,2.6,小青菜(1),10.33
0.31,5.2,2023-06-29,2.6,小青菜(1),10.33
0.756,5.2,2023-06-29,2.6,小青菜(1),10.33
0.252,5.2,2023-06-29,2.6,小青菜(1),10.33
0.756,5.2,2023-06-29,2.6,小青菜(1),10.33
0.504,5.2,2023-06-29,2.6,小青菜(1),10.33
0.736,5.2,2023-06-29,2.6,小青菜(1),10.33
0.833,5.2,2023-06-29,2.6,小青菜(1),10.33
0.271,5.2,2023-06-29,2.6,小青菜(1),10.33
0.291,5.2,2023-06-29,2.6,小青菜(1),10.33
0.252,5.2,2023-06-29,2.6,小青菜(1),10.33
0.252,5.2,2023-06-29,2.6,小青菜(1),10.33
0.562,5.2,2023-06-29,2.6,小青菜(1),10.33
0.465,5.2,2023-06-29,2.6,小青菜(1),10.33
0.271,5.2,2023-06-29,2.6,小青菜(1),10.33
0.504,5.2,2023-06-29,2.6,小青菜(1),10.33
0.252,5.2,2023-06-29,2.6,小青菜(1),10.33
0.252,5.2,2023-06-29,2.6,小青菜(1),10.33
0.581,5.2,2023-06-30,2.7,小青菜(1),10.33
0.562,5.2,2023-06-30,2.7,小青菜(1),10.33
0.485,5.2,2023-06-30,2.7,小青菜(1),10.33
0.271,5.2,2023-06-30,2.7,小青菜(1),10.33
0.523,5.2,2023-06-30,2.7,小青菜(1),10.33
0.271,5.2,2023-06-30,2.7,小青菜(1),10.33
0.504,5.2,2023-06-30,2.7,小青菜(1),10.33
0.523,5.2,2023-06-30,2.7,小青菜(1),10.33
0.252,5.2,2023-06-30,2.7,小青菜(1),10.33
0.252,5.2,2023-06-30,2.7,小青菜(1),10.33
0.485,5.2,2023-06-30,2.7,小青菜(1),10.33
