ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.336,6.0,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.352,6.0,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.352,6.0,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.252,6.0,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.302,3.6,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.537,6.0,2023-06-24,3.25,Ä¾¶ú²Ë,7.61
0.386,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.319,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.554,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.319,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.638,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.654,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.352,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.352,6.0,2023-06-25,3.25,Ä¾¶ú²Ë,7.61
0.352,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.537,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.688,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.52,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.319,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.738,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.285,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.336,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.336,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.319,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.336,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.369,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.352,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.302,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.319,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
