销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.594,14.0,2023-06-24,9.89,枝江青梗散花,9.43
0.515,14.0,2023-06-24,9.89,枝江青梗散花,9.43
0.501,14.0,2023-06-24,9.89,枝江青梗散花,9.43
0.551,14.0,2023-06-24,9.89,枝江青梗散花,9.43
0.508,14.0,2023-06-28,9.94,枝江青梗散花,9.43
0.537,14.0,2023-06-28,9.94,枝江青梗散花,9.43
0.565,14.0,2023-06-28,9.94,枝江青梗散花,9.43
0.529,14.0,2023-06-28,9.94,枝江青梗散花,9.43
0.529,14.0,2023-06-28,9.94,枝江青梗散花,9.43
0.486,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.587,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.494,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.472,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.501,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.558,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.522,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.537,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.494,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.615,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.458,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.393,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.465,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.558,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.501,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.458,8.4,2023-06-29,9.2,枝江青梗散花,9.43
0.637,8.4,2023-06-29,9.2,枝江青梗散花,9.43
0.451,14.0,2023-06-29,9.2,枝江青梗散花,9.43
0.717,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.609,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.524,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.431,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.354,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.416,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.755,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.277,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.493,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.501,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.447,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.308,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.47,6.5,2023-06-30,8.39,枝江青梗散花,9.43
0.431,6.5,2023-06-30,8.39,枝江青梗散花,9.43
0.347,6.5,2023-06-30,8.39,枝江青梗散花,9.43
0.547,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.393,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.408,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.493,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.509,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.316,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.455,13.0,2023-06-30,8.39,枝江青梗散花,9.43
0.501,6.5,2023-06-30,8.39,枝江青梗散花,9.43
0.485,13.0,2023-06-30,8.39,枝江青梗散花,9.43
