销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.593,26.0,2023-06-24,18.0,洪湖藕带,24.05
0.197,26.0,2023-06-24,18.0,洪湖藕带,24.05
0.285,26.0,2023-06-24,18.0,洪湖藕带,24.05
0.72,26.0,2023-06-24,18.0,洪湖藕带,24.05
0.293,26.0,2023-06-24,18.0,洪湖藕带,24.05
0.258,26.0,2023-06-24,18.0,洪湖藕带,24.05
0.374,13.0,2023-06-24,18.0,洪湖藕带,24.05
0.331,26.0,2023-06-25,18.0,洪湖藕带,24.05
0.497,26.0,2023-06-25,18.0,洪湖藕带,24.05
0.524,26.0,2023-06-25,18.0,洪湖藕带,24.05
0.405,26.0,2023-06-25,18.0,洪湖藕带,24.05
0.339,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.381,26.0,2023-06-25,18.0,洪湖藕带,24.05
0.285,26.0,2023-06-25,18.0,洪湖藕带,24.05
0.173,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.354,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.2,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.37,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.254,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.347,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.281,13.0,2023-06-25,18.0,洪湖藕带,24.05
0.389,26.0,2023-06-26,18.0,洪湖藕带,24.05
0.67,26.0,2023-06-26,18.0,洪湖藕带,24.05
0.277,26.0,2023-06-26,18.0,洪湖藕带,24.05
0.77,26.0,2023-06-26,18.0,洪湖藕带,24.05
0.254,26.0,2023-06-26,18.0,洪湖藕带,24.05
0.424,26.0,2023-06-26,18.0,洪湖藕带,24.05
0.551,26.0,2023-06-27,18.0,洪湖藕带,24.05
0.69,26.0,2023-06-27,18.0,洪湖藕带,24.05
0.347,26.0,2023-06-27,18.0,洪湖藕带,24.05
0.389,26.0,2023-06-27,18.0,洪湖藕带,24.05
0.343,26.0,2023-06-27,18.0,洪湖藕带,24.05
0.293,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.343,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.297,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.274,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.189,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.297,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.231,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.281,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.455,13.0,2023-06-27,18.0,洪湖藕带,24.05
0.193,26.0,2023-06-28,18.0,洪湖藕带,24.05
0.412,26.0,2023-06-28,18.0,洪湖藕带,24.05
0.339,26.0,2023-06-28,18.0,洪湖藕带,24.05
0.378,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.281,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.289,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.293,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.393,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.25,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.327,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.32,13.0,2023-06-28,18.0,洪湖藕带,24.05
0.493,26.0,2023-06-28,18.0,洪湖藕带,24.05
0.524,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.274,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.343,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.385,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.874,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.497,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.358,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.566,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.428,26.0,2023-06-29,18.0,洪湖藕带,24.05
0.451,13.0,2023-06-29,18.0,洪湖藕带,24.05
0.254,26.0,2023-06-30,18.0,洪湖藕带,24.05
0.362,26.0,2023-06-30,18.0,洪湖藕带,24.05
0.308,26.0,2023-06-30,18.0,洪湖藕带,24.05
0.351,13.0,2023-06-30,18.0,洪湖藕带,24.05
0.312,26.0,2023-06-30,18.0,洪湖藕带,24.05
0.289,26.0,2023-06-30,18.0,洪湖藕带,24.05
0.331,13.0,2023-06-30,18.0,洪湖藕带,24.05
0.408,13.0,2023-06-30,18.0,洪湖藕带,24.05
0.331,13.0,2023-06-30,18.0,洪湖藕带,24.05
0.327,26.0,2023-06-30,18.0,洪湖藕带,24.05
0.254,13.0,2023-06-30,18.0,洪湖藕带,24.05
0.223,13.0,2023-06-30,18.0,洪湖藕带,24.05
0.277,13.0,2023-06-30,18.0,洪湖藕带,24.05
0.312,13.0,2023-06-30,18.0,洪湖藕带,24.05
