销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-24,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-24,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-24,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-24,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,1.8,2023-06-25,1.96,海鲜菇(包),0.0
1.0,1.8,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-25,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-26,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-26,1.96,海鲜菇(包),0.0
1.0,1.8,2023-06-26,1.96,海鲜菇(包),0.0
1.0,1.8,2023-06-26,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-27,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-28,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-28,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-28,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-28,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-28,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-28,1.96,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-29,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-29,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-30,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-30,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-30,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-30,1.95,海鲜菇(包),0.0
1.0,1.8,2023-06-30,1.95,海鲜菇(包),0.0
1.0,3.0,2023-06-30,1.95,海鲜菇(包),0.0
