œ˙¡ø(«ßøÀ),œ˙ €µ•º€(‘™/«ßøÀ),»’∆⁄,≈˙∑¢º€∏Ò(‘™/«ßøÀ),µ•∆∑√˚≥∆,À∫ƒ¬ (%)
0.379,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.808,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.278,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.985,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.227,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.303,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.278,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.253,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.303,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.505,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.682,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
