оЗа©(г╖©к),оЗйш╣╔╪ш(т╙/г╖©к),хуфз,еЗ╥╒╪ш╦Я(т╙/г╖©к),╣╔ф╥цШЁф,кП╨дбй(%)
0.285,6.0,2023-06-24,3.8,вогявс(2),6.07
0.285,6.0,2023-06-24,3.8,вогявс(2),6.07
0.856,6.0,2023-06-24,3.8,вогявс(2),6.07
0.503,6.0,2023-06-24,3.8,вогявс(2),6.07
0.52,6.0,2023-06-24,3.8,вогявс(2),6.07
0.235,6.0,2023-06-24,3.8,вогявс(2),6.07
0.722,6.0,2023-06-24,3.8,вогявс(2),6.07
0.453,6.0,2023-06-24,3.8,вогявс(2),6.07
0.604,6.0,2023-06-24,3.8,вогявс(2),6.07
0.571,6.0,2023-06-24,3.8,вогявс(2),6.07
0.352,6.0,2023-06-24,3.8,вогявс(2),6.07
1.057,6.0,2023-06-24,3.8,вогявс(2),6.07
0.822,6.0,2023-06-24,3.8,вогявс(2),6.07
0.285,6.0,2023-06-24,3.8,вогявс(2),6.07
0.52,6.0,2023-06-24,3.8,вогявс(2),6.07
0.671,6.0,2023-06-24,3.8,вогявс(2),6.07
0.654,6.0,2023-06-24,3.8,вогявс(2),6.07
0.705,6.0,2023-06-24,3.8,вогявс(2),6.07
0.285,6.0,2023-06-24,3.8,вогявс(2),6.07
0.503,6.0,2023-06-24,3.8,вогявс(2),6.07
0.47,6.0,2023-06-24,3.8,вогявс(2),6.07
0.436,6.0,2023-06-24,3.8,вогявс(2),6.07
0.587,6.0,2023-06-24,3.8,вогявс(2),6.07
0.386,6.0,2023-06-24,3.8,вогявс(2),6.07
0.336,6.0,2023-06-24,3.8,вогявс(2),6.07
0.47,6.0,2023-06-24,3.8,вогявс(2),6.07
0.235,6.0,2023-06-25,3.8,вогявс(2),6.07
0.571,6.0,2023-06-25,3.8,вогявс(2),6.07
0.436,6.0,2023-06-25,3.8,вогявс(2),6.07
0.755,6.0,2023-06-25,3.8,вогявс(2),6.07
0.403,6.0,2023-06-25,3.8,вогявс(2),6.07
0.554,6.0,2023-06-25,3.8,вогявс(2),6.07
0.218,6.0,2023-06-25,3.8,вогявс(2),6.07
0.621,6.0,2023-06-25,3.8,вогявс(2),6.07
0.94,6.0,2023-06-25,3.8,вогявс(2),6.07
0.571,6.0,2023-06-25,3.8,вогявс(2),6.07
0.537,6.0,2023-06-25,3.8,вогявс(2),6.07
0.587,6.0,2023-06-25,3.8,вогявс(2),6.07
0.269,6.0,2023-06-25,3.8,вогявс(2),6.07
0.537,6.0,2023-06-25,3.8,вогявс(2),6.07
0.336,6.0,2023-06-25,3.8,вогявс(2),6.07
0.688,6.0,2023-06-25,3.8,вогявс(2),6.07
0.503,6.0,2023-06-25,3.8,вогявс(2),6.07
0.671,6.0,2023-06-25,3.8,вогявс(2),6.07
0.235,6.0,2023-06-25,3.8,вогявс(2),6.07
0.537,6.0,2023-06-25,3.8,вогявс(2),6.07
0.42,6.0,2023-06-25,3.8,вогявс(2),6.07
0.235,6.0,2023-06-25,3.8,вогявс(2),6.07
0.336,6.0,2023-06-25,3.8,вогявс(2),6.07
0.285,6.0,2023-06-25,3.8,вогявс(2),6.07
0.554,6.0,2023-06-25,3.8,вогявс(2),6.07
0.453,6.0,2023-06-25,3.8,вогявс(2),6.07
0.604,6.0,2023-06-25,3.8,вогявс(2),6.07
0.638,6.0,2023-06-25,3.8,вогявс(2),6.07
0.47,6.0,2023-06-25,3.8,вогявс(2),6.07
0.705,6.0,2023-06-25,3.8,вогявс(2),6.07
0.537,6.0,2023-06-25,3.8,вогявс(2),6.07
1.007,6.0,2023-06-25,3.8,вогявс(2),6.07
0.503,6.0,2023-06-26,3.8,вогявс(2),6.07
0.621,6.0,2023-06-26,3.8,вогявс(2),6.07
0.302,6.0,2023-06-26,3.8,вогявс(2),6.07
1.225,6.0,2023-06-26,3.8,вогявс(2),6.07
0.621,6.0,2023-06-26,3.8,вогявс(2),6.07
0.487,6.0,2023-06-26,3.8,вогявс(2),6.07
0.403,6.0,2023-06-26,3.8,вогявс(2),6.07
0.487,6.0,2023-06-26,3.8,вогявс(2),6.07
0.587,6.0,2023-06-26,3.8,вогявс(2),6.07
0.621,6.0,2023-06-26,3.8,вогявс(2),6.07
0.352,6.0,2023-06-26,3.8,вогявс(2),6.07
0.621,6.0,2023-06-26,3.8,вогявс(2),6.07
0.571,6.0,2023-06-26,3.8,вогявс(2),6.07
0.436,6.0,2023-06-26,3.8,вогявс(2),6.07
0.269,6.0,2023-06-26,3.8,вогявс(2),6.07
0.369,6.0,2023-06-26,3.8,вогявс(2),6.07
0.705,6.0,2023-06-26,3.8,вогявс(2),6.07
0.42,6.0,2023-06-26,3.8,вогявс(2),6.07
0.503,6.0,2023-06-26,3.8,вогявс(2),6.07
0.755,6.0,2023-06-26,3.8,вогявс(2),6.07
1.007,6.0,2023-06-26,3.8,вогявс(2),6.07
1.426,6.0,2023-06-26,3.8,вогявс(2),6.07
0.604,6.0,2023-06-26,3.8,вогявс(2),6.07
0.604,6.0,2023-06-26,3.8,вогявс(2),6.07
0.503,6.0,2023-06-26,3.8,вогявс(2),6.07
0.604,6.0,2023-06-26,3.8,вогявс(2),6.07
