ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.25,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.255,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.29,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.22,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.225,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.165,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.21,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.2,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.205,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.195,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.18,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.255,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.285,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.325,12.0,2023-06-24,13.46,ºì½·(2),9.43
0.255,20.0,2023-06-24,13.46,ºì½·(2),9.43
0.235,12.0,2023-06-24,13.46,ºì½·(2),9.43
0.2,12.0,2023-06-24,13.46,ºì½·(2),9.43
0.255,20.0,2023-06-25,12.8,ºì½·(2),9.43
0.205,20.0,2023-06-25,12.8,ºì½·(2),9.43
0.2,20.0,2023-06-25,12.8,ºì½·(2),9.43
0.23,20.0,2023-06-25,12.8,ºì½·(2),9.43
0.27,12.0,2023-06-25,12.8,ºì½·(2),9.43
0.235,12.0,2023-06-25,12.8,ºì½·(2),9.43
0.19,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.215,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.2,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.235,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.17,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.23,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.215,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.2,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.25,20.0,2023-06-26,12.78,ºì½·(2),9.43
0.165,20.0,2023-06-27,12.91,ºì½·(2),9.43
0.18,20.0,2023-06-27,12.91,ºì½·(2),9.43
0.15,20.0,2023-06-27,12.91,ºì½·(2),9.43
0.245,20.0,2023-06-27,12.91,ºì½·(2),9.43
0.22,20.0,2023-06-27,12.91,ºì½·(2),9.43
0.21,20.0,2023-06-27,12.91,ºì½·(2),9.43
0.19,12.0,2023-06-27,12.91,ºì½·(2),9.43
0.24,20.0,2023-06-27,12.91,ºì½·(2),9.43
0.25,20.0,2023-06-28,12.81,ºì½·(2),9.43
0.235,20.0,2023-06-28,12.81,ºì½·(2),9.43
0.19,20.0,2023-06-28,12.81,ºì½·(2),9.43
0.23,20.0,2023-06-28,12.81,ºì½·(2),9.43
0.21,20.0,2023-06-28,12.81,ºì½·(2),9.43
0.21,12.0,2023-06-28,12.81,ºì½·(2),9.43
0.24,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.235,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.205,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.205,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.18,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.2,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.235,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.25,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.21,12.0,2023-06-29,12.8,ºì½·(2),9.43
0.195,20.0,2023-06-29,12.8,ºì½·(2),9.43
0.2,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.22,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.19,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.2,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.2,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.2,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.24,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.21,20.0,2023-06-30,12.72,ºì½·(2),9.43
0.26,12.0,2023-06-30,12.72,ºì½·(2),9.43
