销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.24,9.2,2023-06-24,5.68,红莲藕带,16.63
0.175,9.2,2023-06-24,5.68,红莲藕带,16.63
0.229,9.2,2023-06-24,5.68,红莲藕带,16.63
0.218,9.2,2023-06-24,5.68,红莲藕带,16.63
0.317,9.2,2023-06-25,5.68,红莲藕带,16.63
0.262,9.2,2023-06-25,5.68,红莲藕带,16.63
0.349,9.2,2023-06-26,5.67,红莲藕带,16.63
0.218,9.2,2023-06-27,5.69,红莲藕带,16.63
0.295,9.2,2023-06-28,5.71,红莲藕带,16.63
0.218,9.2,2023-06-28,5.71,红莲藕带,16.63
0.306,9.2,2023-06-28,5.71,红莲藕带,16.63
0.218,9.2,2023-06-28,5.71,红莲藕带,16.63
0.262,9.2,2023-06-29,5.48,红莲藕带,16.63
0.295,9.2,2023-06-29,5.48,红莲藕带,16.63
0.273,9.2,2023-06-29,5.48,红莲藕带,16.63
0.284,9.2,2023-06-30,5.29,红莲藕带,16.63
0.175,9.2,2023-06-30,5.29,红莲藕带,16.63
0.262,9.2,2023-06-30,5.29,红莲藕带,16.63
