œ˙¡ø(«ßøÀ),œ˙ €µ•º€(‘™/«ßøÀ),»’∆⁄,≈˙∑¢º€∏Ò(‘™/«ßøÀ),µ•∆∑√˚≥∆,À∫ƒ¬ (%)
0.269,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.285,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.269,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.252,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.218,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.285,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.52,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.285,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.369,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.302,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.487,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.47,6.0,2023-06-24,3.6,∫Ï Ìº‚,8.42
0.571,6.0,2023-06-25,3.6,∫Ï Ìº‚,8.42
0.285,6.0,2023-06-25,3.6,∫Ï Ìº‚,8.42
0.302,6.0,2023-06-25,3.6,∫Ï Ìº‚,8.42
0.503,6.0,2023-06-25,3.6,∫Ï Ìº‚,8.42
0.285,6.0,2023-06-25,3.6,∫Ï Ìº‚,8.42
0.554,6.0,2023-06-25,3.6,∫Ï Ìº‚,8.42
0.587,6.0,2023-06-25,3.6,∫Ï Ìº‚,8.42
0.436,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.42,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.218,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.201,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.218,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.218,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.47,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
