销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.453,6.0,2023-06-24,4.6,菜心,13.7
0.47,6.0,2023-06-24,4.6,菜心,13.7
0.252,6.0,2023-06-24,4.6,菜心,13.7
0.738,6.0,2023-06-24,4.6,菜心,13.7
0.671,6.0,2023-06-24,4.6,菜心,13.7
0.42,6.0,2023-06-24,4.6,菜心,13.7
0.386,6.0,2023-06-24,4.6,菜心,13.7
0.336,6.0,2023-06-24,4.6,菜心,13.7
0.269,6.0,2023-06-24,4.6,菜心,13.7
0.117,6.0,2023-06-24,4.6,菜心,13.7
0.352,6.0,2023-06-25,4.6,菜心,13.7
0.487,6.0,2023-06-25,4.6,菜心,13.7
0.403,6.0,2023-06-25,4.6,菜心,13.7
0.235,6.0,2023-06-27,4.61,菜心,13.7
0.587,6.0,2023-06-27,4.61,菜心,13.7
0.302,6.0,2023-06-28,4.62,菜心,13.7
0.302,6.0,2023-06-28,4.62,菜心,13.7
0.654,6.0,2023-06-28,4.62,菜心,13.7
0.822,6.0,2023-06-28,4.62,菜心,13.7
0.621,6.0,2023-06-28,4.62,菜心,13.7
