销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,5.8,2023-06-24,3.9,菠菜(份),9.43
1.0,2.9,2023-06-24,3.9,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,4.1,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,3.4,2023-06-27,4.13,菠菜(份),9.43
1.0,4.1,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-27,4.13,菠菜(份),9.43
1.0,3.4,2023-06-27,4.13,菠菜(份),9.43
1.0,3.4,2023-06-27,4.13,菠菜(份),9.43
1.0,3.4,2023-06-27,4.13,菠菜(份),9.43
1.0,6.8,2023-06-28,4.19,菠菜(份),9.43
1.0,6.8,2023-06-28,4.19,菠菜(份),9.43
1.0,6.8,2023-06-28,4.19,菠菜(份),9.43
1.0,6.8,2023-06-28,4.19,菠菜(份),9.43
1.0,6.8,2023-06-28,4.19,菠菜(份),9.43
1.0,3.4,2023-06-28,4.19,菠菜(份),9.43
1.0,3.4,2023-06-28,4.19,菠菜(份),9.43
1.0,3.4,2023-06-28,4.19,菠菜(份),9.43
1.0,3.4,2023-06-28,4.19,菠菜(份),9.43
1.0,3.4,2023-06-28,4.19,菠菜(份),9.43
1.0,3.4,2023-06-28,4.19,菠菜(份),9.43
1.0,6.8,2023-06-29,4.2,菠菜(份),9.43
1.0,6.8,2023-06-29,4.2,菠菜(份),9.43
1.0,6.8,2023-06-29,4.2,菠菜(份),9.43
1.0,6.8,2023-06-29,4.2,菠菜(份),9.43
1.0,6.8,2023-06-29,4.2,菠菜(份),9.43
1.0,6.8,2023-06-29,4.2,菠菜(份),9.43
1.0,4.1,2023-06-29,4.2,菠菜(份),9.43
1.0,4.1,2023-06-29,4.2,菠菜(份),9.43
1.0,4.1,2023-06-29,4.2,菠菜(份),9.43
1.0,6.8,2023-06-29,4.2,菠菜(份),9.43
1.0,6.8,2023-06-30,4.07,菠菜(份),9.43
1.0,6.8,2023-06-30,4.07,菠菜(份),9.43
1.0,6.8,2023-06-30,4.07,菠菜(份),9.43
1.0,6.8,2023-06-30,4.07,菠菜(份),9.43
1.0,6.8,2023-06-30,4.07,菠菜(份),9.43
1.0,6.8,2023-06-30,4.07,菠菜(份),9.43
1.0,4.1,2023-06-30,4.07,菠菜(份),9.43
1.0,6.8,2023-06-30,4.07,菠菜(份),9.43
1.0,4.1,2023-06-30,4.07,菠菜(份),9.43
1.0,4.1,2023-06-30,4.07,菠菜(份),9.43
1.0,4.1,2023-06-30,4.07,菠菜(份),9.43
