销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.358,14.0,2023-06-24,9.63,菠菜,18.51
0.387,14.0,2023-06-24,9.63,菠菜,18.51
0.365,14.0,2023-06-24,9.63,菠菜,18.51
0.365,14.0,2023-06-24,9.63,菠菜,18.51
0.394,14.0,2023-06-24,9.63,菠菜,18.51
0.344,14.0,2023-06-24,9.63,菠菜,18.51
0.394,14.0,2023-06-24,9.63,菠菜,18.51
0.645,14.0,2023-06-24,9.63,菠菜,18.51
0.416,14.0,2023-06-25,9.63,菠菜,18.51
0.38,14.0,2023-06-25,9.63,菠菜,18.51
0.473,14.0,2023-06-25,9.63,菠菜,18.51
0.351,14.0,2023-06-25,9.63,菠菜,18.51
0.315,14.0,2023-06-25,9.63,菠菜,18.51
0.358,14.0,2023-06-25,9.63,菠菜,18.51
0.638,14.0,2023-06-26,9.66,菠菜,18.51
0.358,14.0,2023-06-26,9.66,菠菜,18.51
0.279,14.0,2023-06-26,9.66,菠菜,18.51
