销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.33,14.0,2023-06-24,9.19,菱角,9.61
0.881,14.0,2023-06-24,9.19,菱角,9.61
0.559,14.0,2023-06-24,9.19,菱角,9.61
0.394,14.0,2023-06-25,9.18,菱角,9.61
1.089,14.0,2023-06-25,9.18,菱角,9.61
0.645,14.0,2023-06-27,9.18,菱角,9.61
0.294,14.0,2023-06-27,9.18,菱角,9.61
0.33,14.0,2023-06-27,9.18,菱角,9.61
0.244,14.0,2023-06-28,9.18,菱角,9.61
0.208,14.0,2023-06-28,9.18,菱角,9.61
0.451,14.0,2023-06-28,9.18,菱角,9.61
0.258,14.0,2023-06-29,9.15,菱角,9.61
0.093,14.0,2023-06-29,9.15,菱角,9.61
0.351,14.0,2023-06-29,9.15,菱角,9.61
0.459,14.0,2023-06-29,9.15,菱角,9.61
2.242,14.0,2023-06-29,9.15,菱角,9.61
0.408,14.0,2023-06-30,9.16,菱角,9.61
0.444,14.0,2023-06-30,9.16,菱角,9.61
1.039,14.0,2023-06-30,9.16,菱角,9.61
0.745,14.0,2023-06-30,9.16,菱角,9.61
0.509,14.0,2023-06-30,9.16,菱角,9.61
0.172,14.0,2023-06-30,9.16,菱角,9.61
0.079,14.0,2023-06-30,9.16,菱角,9.61
