销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,3.8,2023-06-24,2.66,虫草花(份),9.43
1.0,3.8,2023-06-24,2.66,虫草花(份),9.43
1.0,3.8,2023-06-24,2.66,虫草花(份),9.43
1.0,2.3,2023-06-25,2.66,虫草花(份),9.43
1.0,3.8,2023-06-26,2.66,虫草花(份),9.43
1.0,3.8,2023-06-26,2.66,虫草花(份),9.43
1.0,3.8,2023-06-26,2.66,虫草花(份),9.43
1.0,3.8,2023-06-26,2.66,虫草花(份),9.43
1.0,2.3,2023-06-27,2.67,虫草花(份),9.43
1.0,3.8,2023-06-28,2.72,虫草花(份),9.43
1.0,3.8,2023-06-28,2.72,虫草花(份),9.43
1.0,3.8,2023-06-28,2.72,虫草花(份),9.43
1.0,3.8,2023-06-28,2.72,虫草花(份),9.43
1.0,3.8,2023-06-29,2.63,虫草花(份),9.43
1.0,3.8,2023-06-30,2.6,虫草花(份),9.43
1.0,3.8,2023-06-30,2.6,虫草花(份),9.43
