ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.462,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.351,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.552,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.231,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.271,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.372,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.201,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.482,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.251,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.221,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.251,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.291,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.462,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.241,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.372,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.271,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.201,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.131,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.211,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.351,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.161,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.512,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.432,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.241,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.191,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.221,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.422,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.432,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.512,10.0,2023-06-24,6.24,ÂÝË¿½·,10.18
0.382,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.412,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.542,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.512,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.412,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.271,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.241,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.161,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.331,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.191,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.06,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.341,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.382,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.361,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.221,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.512,10.0,2023-06-25,6.24,ÂÝË¿½·,10.18
0.644,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.301,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.142,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.928,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.477,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.301,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.318,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.435,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.56,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.368,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.552,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.385,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.485,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.544,12.0,2023-06-26,6.6,ÂÝË¿½·,10.18
0.527,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.569,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.552,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.259,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.485,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.368,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.326,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.117,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.251,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.326,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.544,12.0,2023-06-27,7.64,ÂÝË¿½·,10.18
0.418,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.268,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.293,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.661,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.343,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.435,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.351,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.485,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.259,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.535,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.309,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.184,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.192,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.142,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.46,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.594,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.142,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.268,12.0,2023-06-28,7.97,ÂÝË¿½·,10.18
0.443,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.627,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.343,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.234,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.811,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.334,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.552,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.585,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.36,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.309,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.393,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.351,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.385,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.452,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.301,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.284,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.527,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
0.401,12.0,2023-06-29,8.95,ÂÝË¿½·,10.18
