销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.373,14.0,2023-06-24,8.42,西兰花,9.26
0.287,14.0,2023-06-24,8.42,西兰花,9.26
0.416,14.0,2023-06-24,8.42,西兰花,9.26
0.394,14.0,2023-06-24,8.42,西兰花,9.26
0.38,14.0,2023-06-24,8.42,西兰花,9.26
0.365,14.0,2023-06-24,8.42,西兰花,9.26
0.466,14.0,2023-06-24,8.42,西兰花,9.26
0.387,14.0,2023-06-24,8.42,西兰花,9.26
0.279,14.0,2023-06-24,8.42,西兰花,9.26
0.437,14.0,2023-06-24,8.42,西兰花,9.26
0.401,14.0,2023-06-24,8.42,西兰花,9.26
0.437,14.0,2023-06-24,8.42,西兰花,9.26
0.466,14.0,2023-06-24,8.42,西兰花,9.26
0.401,14.0,2023-06-24,8.42,西兰花,9.26
0.552,14.0,2023-06-24,8.42,西兰花,9.26
0.33,14.0,2023-06-24,8.42,西兰花,9.26
0.394,14.0,2023-06-24,8.42,西兰花,9.26
0.416,14.0,2023-06-24,8.42,西兰花,9.26
0.387,14.0,2023-06-24,8.42,西兰花,9.26
0.43,14.0,2023-06-24,8.42,西兰花,9.26
0.501,14.0,2023-06-24,8.42,西兰花,9.26
0.573,14.0,2023-06-24,8.42,西兰花,9.26
0.315,14.0,2023-06-24,8.42,西兰花,9.26
0.272,14.0,2023-06-25,8.15,西兰花,9.26
0.344,14.0,2023-06-25,8.15,西兰花,9.26
0.408,14.0,2023-06-25,8.15,西兰花,9.26
0.437,14.0,2023-06-25,8.15,西兰花,9.26
0.315,14.0,2023-06-25,8.15,西兰花,9.26
0.416,14.0,2023-06-25,8.15,西兰花,9.26
0.609,14.0,2023-06-25,8.15,西兰花,9.26
0.365,14.0,2023-06-25,8.15,西兰花,9.26
0.573,14.0,2023-06-25,8.15,西兰花,9.26
0.416,14.0,2023-06-25,8.15,西兰花,9.26
0.552,14.0,2023-06-25,8.15,西兰花,9.26
0.358,14.0,2023-06-25,8.15,西兰花,9.26
0.365,14.0,2023-06-25,8.15,西兰花,9.26
0.466,14.0,2023-06-25,8.15,西兰花,9.26
0.408,14.0,2023-06-25,8.15,西兰花,9.26
0.444,14.0,2023-06-25,8.15,西兰花,9.26
0.394,14.0,2023-06-25,8.15,西兰花,9.26
0.351,14.0,2023-06-25,8.15,西兰花,9.26
0.301,14.0,2023-06-25,8.15,西兰花,9.26
0.43,14.0,2023-06-25,8.15,西兰花,9.26
0.337,14.0,2023-06-25,8.15,西兰花,9.26
0.344,14.0,2023-06-25,8.15,西兰花,9.26
0.308,14.0,2023-06-25,8.15,西兰花,9.26
0.351,14.0,2023-06-25,8.15,西兰花,9.26
0.408,14.0,2023-06-25,8.15,西兰花,9.26
0.709,14.0,2023-06-25,8.15,西兰花,9.26
0.373,14.0,2023-06-26,7.94,西兰花,9.26
0.394,14.0,2023-06-26,7.94,西兰花,9.26
0.444,14.0,2023-06-26,7.94,西兰花,9.26
0.58,14.0,2023-06-26,7.94,西兰花,9.26
0.351,14.0,2023-06-26,7.94,西兰花,9.26
0.444,14.0,2023-06-26,7.94,西兰花,9.26
0.423,14.0,2023-06-26,7.94,西兰花,9.26
0.294,14.0,2023-06-26,7.94,西兰花,9.26
0.401,14.0,2023-06-26,7.94,西兰花,9.26
0.394,14.0,2023-06-26,7.94,西兰花,9.26
0.473,14.0,2023-06-26,7.94,西兰花,9.26
0.358,14.0,2023-06-26,7.94,西兰花,9.26
0.38,14.0,2023-06-26,7.94,西兰花,9.26
0.459,14.0,2023-06-26,7.94,西兰花,9.26
0.423,14.0,2023-06-26,7.94,西兰花,9.26
0.444,14.0,2023-06-26,7.94,西兰花,9.26
0.33,14.0,2023-06-26,7.94,西兰花,9.26
0.387,14.0,2023-06-26,7.94,西兰花,9.26
0.33,14.0,2023-06-26,7.94,西兰花,9.26
0.401,14.0,2023-06-26,7.94,西兰花,9.26
0.452,12.0,2023-06-27,7.8,西兰花,9.26
0.351,12.0,2023-06-27,7.8,西兰花,9.26
1.095,12.0,2023-06-27,7.8,西兰花,9.26
0.452,12.0,2023-06-27,7.8,西兰花,9.26
0.468,12.0,2023-06-27,7.8,西兰花,9.26
0.401,12.0,2023-06-27,7.8,西兰花,9.26
0.326,12.0,2023-06-27,7.8,西兰花,9.26
0.393,12.0,2023-06-27,7.8,西兰花,9.26
0.401,12.0,2023-06-27,7.8,西兰花,9.26
0.368,12.0,2023-06-27,7.8,西兰花,9.26
0.426,12.0,2023-06-27,7.8,西兰花,9.26
1.062,12.0,2023-06-27,7.8,西兰花,9.26
0.51,12.0,2023-06-27,7.8,西兰花,9.26
0.56,12.0,2023-06-27,7.8,西兰花,9.26
0.326,12.0,2023-06-27,7.8,西兰花,9.26
0.343,12.0,2023-06-27,7.8,西兰花,9.26
0.627,12.0,2023-06-27,7.8,西兰花,9.26
0.719,12.0,2023-06-27,7.8,西兰花,9.26
0.393,12.0,2023-06-27,7.8,西兰花,9.26
0.418,12.0,2023-06-27,7.8,西兰花,9.26
0.46,12.0,2023-06-27,7.8,西兰花,9.26
0.435,12.0,2023-06-27,7.8,西兰花,9.26
0.41,12.0,2023-06-27,7.8,西兰花,9.26
1.271,12.0,2023-06-27,7.8,西兰花,9.26
0.585,12.0,2023-06-27,7.8,西兰花,9.26
0.368,12.0,2023-06-27,7.8,西兰花,9.26
0.309,12.0,2023-06-27,7.8,西兰花,9.26
0.343,12.0,2023-06-27,7.8,西兰花,9.26
0.46,12.0,2023-06-28,7.45,西兰花,9.26
0.376,12.0,2023-06-28,7.45,西兰花,9.26
0.368,12.0,2023-06-28,7.45,西兰花,9.26
0.368,12.0,2023-06-28,7.45,西兰花,9.26
0.418,12.0,2023-06-28,7.45,西兰花,9.26
0.385,12.0,2023-06-28,7.45,西兰花,9.26
0.368,12.0,2023-06-28,7.45,西兰花,9.26
0.376,12.0,2023-06-28,7.45,西兰花,9.26
0.368,12.0,2023-06-28,7.45,西兰花,9.26
0.468,12.0,2023-06-28,7.45,西兰花,9.26
0.376,12.0,2023-06-28,7.45,西兰花,9.26
0.702,12.0,2023-06-28,7.45,西兰花,9.26
0.385,12.0,2023-06-28,7.45,西兰花,9.26
0.334,12.0,2023-06-28,7.45,西兰花,9.26
0.719,12.0,2023-06-28,7.45,西兰花,9.26
0.36,12.0,2023-06-28,7.45,西兰花,9.26
0.309,12.0,2023-06-28,7.45,西兰花,9.26
0.326,12.0,2023-06-28,7.45,西兰花,9.26
0.426,12.0,2023-06-28,7.45,西兰花,9.26
0.87,12.0,2023-06-28,7.45,西兰花,9.26
0.443,12.0,2023-06-28,7.45,西兰花,9.26
0.284,12.0,2023-06-28,7.45,西兰花,9.26
0.376,12.0,2023-06-28,7.45,西兰花,9.26
0.778,12.0,2023-06-28,7.45,西兰花,9.26
0.343,12.0,2023-06-28,7.45,西兰花,9.26
0.426,12.0,2023-06-28,7.45,西兰花,9.26
0.351,12.0,2023-06-28,7.45,西兰花,9.26
0.401,12.0,2023-06-28,7.45,西兰花,9.26
0.56,12.0,2023-06-28,7.45,西兰花,9.26
0.351,12.0,2023-06-28,7.45,西兰花,9.26
0.326,12.0,2023-06-28,7.45,西兰花,9.26
0.394,11.2,2023-06-29,7.42,西兰花,9.26
0.421,11.2,2023-06-29,7.42,西兰花,9.26
0.358,11.2,2023-06-29,7.42,西兰花,9.26
0.502,11.2,2023-06-29,7.42,西兰花,9.26
0.466,11.2,2023-06-29,7.42,西兰花,9.26
0.842,11.2,2023-06-29,7.42,西兰花,9.26
0.421,11.2,2023-06-29,7.42,西兰花,9.26
0.493,11.2,2023-06-29,7.42,西兰花,9.26
