销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.271,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.113,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.2,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.167,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.263,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.234,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.38,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.1,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.092,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.113,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.38,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.413,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.288,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.217,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.138,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.192,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.159,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.134,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.134,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.188,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.142,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.084,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.18,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.184,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.129,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.163,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.188,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.129,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.067,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.346,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.246,24.0,2023-06-24,15.6,西峡花菇(1),10.8
0.067,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.288,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.568,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.18,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.154,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.096,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.167,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.2,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.167,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.163,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.167,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.321,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.246,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.188,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.096,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.267,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.138,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.326,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.159,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.167,24.0,2023-06-25,15.6,西峡花菇(1),10.8
0.18,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.167,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.53,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.05,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.196,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.171,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.15,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.129,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.138,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.138,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.217,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.096,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.205,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.096,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.163,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.246,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.159,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.079,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.18,24.0,2023-06-26,15.6,西峡花菇(1),10.8
0.142,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.088,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.113,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.417,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.196,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.134,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.184,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.109,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.142,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.113,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.271,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.121,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.129,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.038,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.121,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.196,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.23,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.192,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.284,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.1,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.196,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.192,24.0,2023-06-27,15.6,西峡花菇(1),10.8
0.163,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.138,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.113,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.238,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.063,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.184,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.23,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.084,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.338,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.259,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.163,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.104,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.284,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.213,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.129,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.2,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.15,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.205,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.138,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.05,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.15,24.0,2023-06-28,15.6,西峡花菇(1),10.8
0.175,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.392,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.242,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.088,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.23,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.092,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.23,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.188,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.184,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.384,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.288,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.196,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.167,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.217,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.18,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.184,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.113,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.113,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.217,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.142,24.0,2023-06-29,15.6,西峡花菇(1),10.8
0.125,24.0,2023-06-30,15.6,西峡花菇(1),10.8
0.221,24.0,2023-06-30,15.6,西峡花菇(1),10.8
0.221,24.0,2023-06-30,15.6,西峡花菇(1),10.8
0.15,24.0,2023-06-30,15.6,西峡花菇(1),10.8
0.146,24.0,2023-06-30,15.6,西峡花菇(1),10.8
0.188,24.0,2023-06-30,15.6,西峡花菇(1),10.8
