销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,1.2,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,1.2,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,1.2,2023-06-24,1.45,金针菇(盒),0.45
1.0,1.2,2023-06-24,1.45,金针菇(盒),0.45
1.0,1.2,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-24,1.45,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-25,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-26,1.44,金针菇(盒),0.45
1.0,1.2,2023-06-26,1.44,金针菇(盒),0.45
1.0,2.0,2023-06-27,1.46,金针菇(盒),0.45
1.0,2.0,2023-06-27,1.46,金针菇(盒),0.45
