销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.151,12.0,2023-06-24,6.94,长线茄,6.9
0.334,12.0,2023-06-24,6.94,长线茄,6.9
0.326,12.0,2023-06-24,6.94,长线茄,6.9
0.293,12.0,2023-06-24,6.94,长线茄,6.9
0.443,12.0,2023-06-24,6.94,长线茄,6.9
0.443,12.0,2023-06-24,6.94,长线茄,6.9
0.351,12.0,2023-06-24,6.94,长线茄,6.9
0.293,12.0,2023-06-24,6.94,长线茄,6.9
0.477,12.0,2023-06-24,6.94,长线茄,6.9
0.276,12.0,2023-06-24,6.94,长线茄,6.9
0.518,12.0,2023-06-24,6.94,长线茄,6.9
0.309,12.0,2023-06-24,6.94,长线茄,6.9
0.184,12.0,2023-06-24,6.94,长线茄,6.9
1.146,12.0,2023-06-24,6.94,长线茄,6.9
0.426,12.0,2023-06-24,6.94,长线茄,6.9
0.418,12.0,2023-06-24,6.94,长线茄,6.9
0.443,12.0,2023-06-24,6.94,长线茄,6.9
0.376,12.0,2023-06-25,6.94,长线茄,6.9
0.41,12.0,2023-06-25,6.94,长线茄,6.9
0.226,12.0,2023-06-25,6.94,长线茄,6.9
0.452,12.0,2023-06-25,6.94,长线茄,6.9
0.393,12.0,2023-06-25,6.94,长线茄,6.9
0.636,12.0,2023-06-25,6.94,长线茄,6.9
0.251,12.0,2023-06-26,6.94,长线茄,6.9
0.485,12.0,2023-06-26,6.94,长线茄,6.9
0.276,12.0,2023-06-26,6.94,长线茄,6.9
0.259,12.0,2023-06-26,6.94,长线茄,6.9
0.301,12.0,2023-06-27,6.99,长线茄,6.9
0.234,12.0,2023-06-27,6.99,长线茄,6.9
0.309,12.0,2023-06-27,6.99,长线茄,6.9
0.334,12.0,2023-06-27,6.99,长线茄,6.9
0.368,12.0,2023-06-27,6.99,长线茄,6.9
0.36,12.0,2023-06-27,6.99,长线茄,6.9
0.426,12.0,2023-06-27,6.99,长线茄,6.9
0.293,12.0,2023-06-28,7.01,长线茄,6.9
0.309,12.0,2023-06-28,7.01,长线茄,6.9
0.318,12.0,2023-06-28,7.01,长线茄,6.9
0.393,12.0,2023-06-28,7.01,长线茄,6.9
0.736,12.0,2023-06-28,7.01,长线茄,6.9
0.903,12.0,2023-06-28,7.01,长线茄,6.9
0.435,12.0,2023-06-28,7.01,长线茄,6.9
0.251,12.0,2023-06-28,7.01,长线茄,6.9
0.351,12.0,2023-06-28,7.01,长线茄,6.9
0.301,12.0,2023-06-28,7.01,长线茄,6.9
0.627,12.0,2023-06-28,7.01,长线茄,6.9
0.46,12.0,2023-06-29,7.06,长线茄,6.9
0.217,12.0,2023-06-29,7.06,长线茄,6.9
0.293,12.0,2023-06-29,7.06,长线茄,6.9
0.226,12.0,2023-06-29,7.06,长线茄,6.9
0.234,12.0,2023-06-29,7.06,长线茄,6.9
0.627,12.0,2023-06-29,7.06,长线茄,6.9
0.351,12.0,2023-06-29,7.06,长线茄,6.9
0.46,12.0,2023-06-29,7.06,长线茄,6.9
0.435,12.0,2023-06-30,7.0,长线茄,6.9
0.569,12.0,2023-06-30,7.0,长线茄,6.9
0.41,12.0,2023-06-30,7.0,长线茄,6.9
0.318,12.0,2023-06-30,7.0,长线茄,6.9
0.435,12.0,2023-06-30,7.0,长线茄,6.9
0.569,12.0,2023-06-30,7.0,长线茄,6.9
0.443,12.0,2023-06-30,7.0,长线茄,6.9
0.309,12.0,2023-06-30,7.0,长线茄,6.9
0.276,12.0,2023-06-30,7.0,长线茄,6.9
0.284,12.0,2023-06-30,7.0,长线茄,6.9
0.36,12.0,2023-06-30,7.0,长线茄,6.9
0.334,12.0,2023-06-30,7.0,长线茄,6.9
0.393,12.0,2023-06-30,7.0,长线茄,6.9
0.234,12.0,2023-06-30,7.0,长线茄,6.9
0.334,12.0,2023-06-30,7.0,长线茄,6.9
0.393,12.0,2023-06-30,7.0,长线茄,6.9
0.769,12.0,2023-06-30,7.0,长线茄,6.9
0.452,12.0,2023-06-30,7.0,长线茄,6.9
0.669,12.0,2023-06-30,7.0,长线茄,6.9
0.803,12.0,2023-06-30,7.0,长线茄,6.9
