销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
1.0,5.8,2023-06-24,3.53,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-25,3.44,青红杭椒组合装(份),9.43
1.0,3.5,2023-06-25,3.44,青红杭椒组合装(份),9.43
1.0,3.5,2023-06-26,3.36,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-27,3.06,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-27,3.06,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-27,3.06,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-27,3.06,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-28,2.96,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-28,2.96,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-29,2.95,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-30,3.32,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-30,3.32,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-30,3.32,青红杭椒组合装(份),9.43
1.0,5.8,2023-06-30,3.32,青红杭椒组合装(份),9.43
