销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.47,6.0,2023-06-24,4.12,青茄子(1),5.01
0.52,6.0,2023-06-24,4.12,青茄子(1),5.01
0.873,6.0,2023-06-24,4.12,青茄子(1),5.01
1.091,6.0,2023-06-24,4.12,青茄子(1),5.01
0.487,6.0,2023-06-24,4.12,青茄子(1),5.01
0.453,6.0,2023-06-24,4.12,青茄子(1),5.01
0.453,6.0,2023-06-24,4.12,青茄子(1),5.01
0.52,6.0,2023-06-24,4.12,青茄子(1),5.01
0.52,6.0,2023-06-24,4.12,青茄子(1),5.01
0.436,6.0,2023-06-24,4.12,青茄子(1),5.01
0.52,6.0,2023-06-24,4.12,青茄子(1),5.01
0.755,6.0,2023-06-24,4.12,青茄子(1),5.01
0.52,6.0,2023-06-25,4.12,青茄子(1),5.01
0.453,6.0,2023-06-25,4.12,青茄子(1),5.01
0.503,6.0,2023-06-25,4.12,青茄子(1),5.01
0.906,6.0,2023-06-25,4.12,青茄子(1),5.01
0.923,6.0,2023-06-25,4.12,青茄子(1),5.01
0.453,6.0,2023-06-25,4.12,青茄子(1),5.01
0.554,6.0,2023-06-26,4.11,青茄子(1),5.01
0.453,6.0,2023-06-26,4.11,青茄子(1),5.01
0.621,6.0,2023-06-26,4.11,青茄子(1),5.01
1.359,6.0,2023-06-26,4.11,青茄子(1),5.01
0.571,6.0,2023-06-26,4.11,青茄子(1),5.01
0.503,6.0,2023-06-27,3.98,青茄子(1),5.01
0.42,6.0,2023-06-27,3.98,青茄子(1),5.01
0.537,6.0,2023-06-28,3.98,青茄子(1),5.01
1.007,6.0,2023-06-28,3.98,青茄子(1),5.01
0.386,6.0,2023-06-28,3.98,青茄子(1),5.01
0.52,6.0,2023-06-28,3.98,青茄子(1),5.01
0.52,6.0,2023-06-29,3.98,青茄子(1),5.01
0.42,6.0,2023-06-29,3.98,青茄子(1),5.01
