销量(千克),销售单价(元/千克),日期,批发价格(元/千克),单品名称,损耗率(%)
0.432,16.0,2023-06-24,11.14,高瓜(1),29.25
0.251,16.0,2023-06-24,11.14,高瓜(1),29.25
0.52,16.0,2023-06-24,11.14,高瓜(1),29.25
0.194,16.0,2023-06-24,11.14,高瓜(1),29.25
0.558,16.0,2023-06-24,11.14,高瓜(1),29.25
0.42,8.0,2023-06-24,11.14,高瓜(1),29.25
0.326,8.0,2023-06-24,11.14,高瓜(1),29.25
0.345,16.0,2023-06-24,11.14,高瓜(1),29.25
0.276,16.0,2023-06-25,11.3,高瓜(1),29.25
0.194,16.0,2023-06-25,11.3,高瓜(1),29.25
0.533,16.0,2023-06-25,11.3,高瓜(1),29.25
0.288,16.0,2023-06-25,11.3,高瓜(1),29.25
0.307,9.6,2023-06-25,11.3,高瓜(1),29.25
0.389,9.6,2023-06-25,11.3,高瓜(1),29.25
0.37,9.6,2023-06-25,11.3,高瓜(1),29.25
0.432,16.0,2023-06-26,11.65,高瓜(1),29.25
0.175,16.0,2023-06-26,11.65,高瓜(1),29.25
1.259,16.0,2023-06-26,11.65,高瓜(1),29.25
0.107,16.0,2023-06-26,11.65,高瓜(1),29.25
0.213,16.0,2023-06-27,11.64,高瓜(1),29.25
0.476,16.0,2023-06-27,11.64,高瓜(1),29.25
0.508,16.0,2023-06-27,11.64,高瓜(1),29.25
0.307,9.6,2023-06-27,11.64,高瓜(1),29.25
0.432,9.6,2023-06-27,11.64,高瓜(1),29.25
0.295,9.6,2023-06-27,11.64,高瓜(1),29.25
0.332,9.6,2023-06-27,11.64,高瓜(1),29.25
0.363,9.6,2023-06-27,11.64,高瓜(1),29.25
0.363,9.6,2023-06-27,11.64,高瓜(1),29.25
0.338,9.6,2023-06-27,11.64,高瓜(1),29.25
0.32,16.0,2023-06-27,11.64,高瓜(1),29.25
0.219,16.0,2023-06-28,11.67,高瓜(1),29.25
0.351,8.0,2023-06-28,11.67,高瓜(1),29.25
0.395,8.0,2023-06-28,11.67,高瓜(1),29.25
0.295,16.0,2023-06-28,11.67,高瓜(1),29.25
0.401,16.0,2023-06-28,11.67,高瓜(1),29.25
0.79,16.0,2023-06-28,11.67,高瓜(1),29.25
0.213,16.0,2023-06-29,11.71,高瓜(1),29.25
0.426,16.0,2023-06-29,11.71,高瓜(1),29.25
0.658,16.0,2023-06-29,11.71,高瓜(1),29.25
0.313,16.0,2023-06-29,11.71,高瓜(1),29.25
0.326,16.0,2023-06-29,11.71,高瓜(1),29.25
0.345,16.0,2023-06-29,11.71,高瓜(1),29.25
0.15,16.0,2023-06-29,11.71,高瓜(1),29.25
0.269,16.0,2023-06-29,11.71,高瓜(1),29.25
0.363,8.0,2023-06-29,11.71,高瓜(1),29.25
0.414,16.0,2023-06-29,11.71,高瓜(1),29.25
0.169,16.0,2023-06-30,11.67,高瓜(1),29.25
0.295,16.0,2023-06-30,11.67,高瓜(1),29.25
0.338,8.0,2023-06-30,11.67,高瓜(1),29.25
0.345,8.0,2023-06-30,11.67,高瓜(1),29.25
0.395,8.0,2023-06-30,11.67,高瓜(1),29.25
0.376,8.0,2023-06-30,11.67,高瓜(1),29.25
0.357,16.0,2023-06-30,11.67,高瓜(1),29.25
0.351,8.0,2023-06-30,11.67,高瓜(1),29.25
0.389,16.0,2023-06-30,11.67,高瓜(1),29.25
0.282,8.0,2023-06-30,11.67,高瓜(1),29.25
0.483,8.0,2023-06-30,11.67,高瓜(1),29.25
